Dyad,Player,Raza,Stage,Round,Contador,Perro,Rotulo,suposicion,Recibido,Kind,Correctitud
45981-38174,38174543864515,terrier,2,2,1,Perro1,D,Nada,Si,D,1.0
45981-38174,38174543864515,terrier,2,2,2,Perro5,B,Nada,Si,B,1.0
45981-38174,459819203408978,hound,2,2,1,Perro4,C,Nada,Si,A,0.0
45981-38174,459819203408978,hound,2,3,1,Perro1,A,Nada,Si,A,1.0
45981-38174,459819203408978,hound,2,3,2,Perro2,C,Nada,Si,C,1.0
45981-38174,38174543864515,terrier,2,4,1,Perro3,D,Nada,No,B,1.0
45981-38174,459819203408978,hound,2,5,1,Perro2,A,Nada,No,C,1.0
45981-38174,459819203408978,hound,2,5,2,Perro4,A,A,No,C,1.0
45981-38174,38174543864515,terrier,2,5,1,Perro3,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,5,2,Perro5,B,B,Si,B,1.0
45981-38174,38174543864515,terrier,2,6,1,Perro4,D,Nada,Si,D,1.0
45981-38174,459819203408978,hound,2,6,1,Perro3,A,Nada,Si,A,1.0
45981-38174,38174543864515,terrier,2,7,1,Perro3,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,7,2,Perro5,A,Nada,No,D,1.0
45981-38174,459819203408978,hound,2,8,1,Perro5,C,Nada,Si,A,0.0
45981-38174,459819203408978,hound,2,8,2,Perro3,C,C,Si,C,1.0
45981-38174,38174543864515,terrier,2,8,1,Perro1,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,8,2,Perro4,D,D,No,B,1.0
45981-38174,38174543864515,terrier,2,8,3,Perro2,D,D,Si,D,1.0
45981-38174,38174543864515,terrier,2,9,1,Perro2,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,9,2,Perro1,B,Nada,Si,B,1.0
45981-38174,459819203408978,hound,2,9,1,Perro5,C,Nada,Si,C,1.0
45981-38174,38174543864515,terrier,2,10,1,Perro1,D,Nada,Si,D,1.0
45981-38174,38174543864515,terrier,2,10,2,Perro2,D,Nada,Si,D,1.0
45981-38174,38174543864515,terrier,2,10,3,Perro3,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,10,4,Perro4,D,Nada,Si,D,1.0
45981-38174,38174543864515,terrier,2,10,5,Perro5,B,Nada,Si,D,0.0
45981-38174,38174543864515,terrier,2,11,1,Perro4,B,D,No,D,1.0
45981-38174,38174543864515,terrier,2,11,2,Perro3,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,11,1,Perro5,A,A,Si,A,1.0
45981-38174,459819203408978,hound,2,11,2,Perro1,A,A,Si,A,1.0
45981-38174,38174543864515,terrier,2,12,1,Perro3,B,B,Si,B,1.0
45981-38174,38174543864515,terrier,2,12,2,Perro4,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,12,3,Perro5,D,Nada,Si,D,1.0
45981-38174,459819203408978,hound,2,12,1,Perro2,C,Nada,No,A,1.0
45981-38174,459819203408978,hound,2,12,2,Perro1,A,A,Si,A,1.0
45981-38174,38174543864515,terrier,2,13,1,Perro3,B,Nada,Si,B,1.0
45981-38174,38174543864515,terrier,2,13,2,Perro4,D,Nada,Si,D,1.0
45981-38174,459819203408978,hound,2,13,1,Perro1,A,A,Si,A,1.0
45981-38174,459819203408978,hound,2,13,2,Perro5,C,C,Si,C,1.0
45981-38174,38174543864515,terrier,2,14,1,Perro3,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,14,1,Perro1,A,A,Si,A,1.0
45981-38174,38174543864515,terrier,2,14,2,Perro5,B,B,Si,B,1.0
45981-38174,38174543864515,terrier,2,14,3,Perro4,D,D,Si,D,1.0
45981-38174,459819203408978,hound,2,14,2,Perro2,A,A,Si,A,1.0
45981-38174,459819203408978,hound,2,15,1,Perro4,A,Nada,No,C,1.0
45981-38174,38174543864515,terrier,2,15,1,Perro3,D,D,Si,D,1.0
