Dyad,Player,Raza,Stage,Round,Object,Label,Kind,Correct
45981-38174,459819203408978,hound,1,1,B5.jpg,B,B,1
45981-38174,459819203408978,hound,1,1,D2.jpg,B,D,0
45981-38174,459819203408978,hound,1,1,D6.jpg,D,D,1
45981-38174,459819203408978,hound,1,1,B9.jpg,D,B,0
45981-38174,459819203408978,hound,1,1,D1.jpg,B,D,0
45981-38174,38174543864515,terrier,1,1,A3.jpg,A,A,1
45981-38174,38174543864515,terrier,1,1,A10.jpg,A,A,1
45981-38174,38174543864515,terrier,1,1,C6.jpg,C,C,1
45981-38174,38174543864515,terrier,1,1,C10.jpg,C,C,1
45981-38174,38174543864515,terrier,1,1,A8.jpg,C,A,0
45981-38174,38174543864515,terrier,1,2,C10.jpg,C,C,1
45981-38174,38174543864515,terrier,1,2,C4.jpg,C,C,1
45981-38174,38174543864515,terrier,1,2,A9.jpg,C,A,0
45981-38174,38174543864515,terrier,1,2,C5.jpg,C,C,1
45981-38174,38174543864515,terrier,1,2,A2.jpg,A,A,1
45981-38174,459819203408978,hound,1,2,D11.jpg,B,D,0
45981-38174,459819203408978,hound,1,2,D6.jpg,D,D,1
45981-38174,459819203408978,hound,1,2,D7.jpg,D,D,1
45981-38174,459819203408978,hound,1,2,B5.jpg,B,B,1
45981-38174,459819203408978,hound,1,2,D10.jpg,D,D,1
45981-38174,459819203408978,hound,1,3,D2.jpg,B,D,0
45981-38174,459819203408978,hound,1,3,B10.jpg,D,B,0
45981-38174,459819203408978,hound,1,3,D5.jpg,D,D,1
45981-38174,459819203408978,hound,1,3,D10.jpg,D,D,1
45981-38174,459819203408978,hound,1,3,D12.jpg,D,D,1
45981-38174,38174543864515,terrier,1,3,A4.jpg,C,A,0
45981-38174,38174543864515,terrier,1,3,A5.jpg,A,A,1
45981-38174,38174543864515,terrier,1,3,A2.jpg,Nada,A,0
45981-38174,38174543864515,terrier,1,3,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,1,3,A3.jpg,A,A,1
45981-38174,38174543864515,terrier,1,4,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,4,C2.jpg,C,C,1
45981-38174,38174543864515,terrier,1,4,A1.jpg,A,A,1
45981-38174,38174543864515,terrier,1,4,A12.jpg,A,A,1
45981-38174,38174543864515,terrier,1,4,C6.jpg,C,C,1
45981-38174,459819203408978,hound,1,4,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,4,B3.jpg,B,B,1
45981-38174,459819203408978,hound,1,4,D6.jpg,D,D,1
45981-38174,459819203408978,hound,1,4,D7.jpg,D,D,1
45981-38174,459819203408978,hound,1,4,D9.jpg,D,D,1
45981-38174,459819203408978,hound,1,5,D5.jpg,D,D,1
45981-38174,459819203408978,hound,1,5,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,5,D9.jpg,D,D,1
45981-38174,459819203408978,hound,1,5,B12.jpg,B,B,1
45981-38174,459819203408978,hound,1,5,D3.jpg,D,D,1
45981-38174,38174543864515,terrier,1,5,A6.jpg,A,A,1
45981-38174,38174543864515,terrier,1,5,C1.jpg,C,C,1
45981-38174,38174543864515,terrier,1,5,A4.jpg,C,A,0
45981-38174,38174543864515,terrier,1,5,C11.jpg,C,C,1
45981-38174,38174543864515,terrier,1,5,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,1,6,A2.jpg,A,A,1
45981-38174,38174543864515,terrier,1,6,C9.jpg,C,C,1
45981-38174,38174543864515,terrier,1,6,A9.jpg,A,A,1
45981-38174,38174543864515,terrier,1,6,A11.jpg,A,A,1
45981-38174,38174543864515,terrier,1,6,A3.jpg,A,A,1
45981-38174,459819203408978,hound,1,6,D1.jpg,D,D,1
45981-38174,459819203408978,hound,1,6,B7.jpg,B,B,1
45981-38174,459819203408978,hound,1,6,D8.jpg,D,D,1
45981-38174,459819203408978,hound,1,6,D9.jpg,D,D,1
45981-38174,459819203408978,hound,1,6,D11.jpg,Nada,D,0
45981-38174,38174543864515,terrier,1,7,A8.jpg,A,A,1
45981-38174,38174543864515,terrier,1,7,C4.jpg,C,C,1
45981-38174,38174543864515,terrier,1,7,C8.jpg,C,C,1
45981-38174,38174543864515,terrier,1,7,A7.jpg,A,A,1
45981-38174,38174543864515,terrier,1,7,C11.jpg,C,C,1
