Dyad,Player,Raza,Stage,Round,Object,Label,Kind,Correct
32519-32519,325192931513079,terrier,5,1,C11.jpg,C,C,1
32519-32519,325192931513079,terrier,5,1,A1.jpg,C,A,0
32519-32519,325192931513079,terrier,5,1,A7.jpg,A,A,1
32519-32519,325192931513079,terrier,5,1,A6.jpg,A,A,1
32519-32519,325192931513079,terrier,5,1,A5.jpg,A,A,1
32519-32519,325192931513079,terrier,5,2,A3.jpg,C,A,0
32519-32519,325192931513079,terrier,5,2,C7.jpg,C,C,1
32519-32519,325192931513079,terrier,5,2,A5.jpg,A,A,1
32519-32519,325192931513079,terrier,5,2,A4.jpg,C,A,0
32519-32519,325192931513079,terrier,5,2,A10.jpg,C,A,0
32519-32519,325192931513079,terrier,5,3,A12.jpg,A,A,1
32519-32519,325192931513079,terrier,5,3,A5.jpg,A,A,1
32519-32519,325192931513079,terrier,5,3,C8.jpg,C,C,1
32519-32519,325192931513079,terrier,5,3,C5.jpg,C,C,1
32519-32519,325192931513079,terrier,5,3,C7.jpg,A,C,0
32519-32519,325192931513079,terrier,5,4,A4.jpg,C,A,0
32519-32519,325192931513079,terrier,5,4,A8.jpg,A,A,1
32519-32519,325192931513079,terrier,5,4,A6.jpg,A,A,1
32519-32519,325192931513079,terrier,5,4,C5.jpg,C,C,1
32519-32519,325192931513079,terrier,5,4,C7.jpg,C,C,1
32519-32519,325192931513079,terrier,5,5,A8.jpg,C,A,0
32519-32519,325192931513079,terrier,5,5,A5.jpg,A,A,1
32519-32519,325192931513079,terrier,5,5,C10.jpg,C,C,1
32519-32519,325192931513079,terrier,5,5,A7.jpg,A,A,1
32519-32519,325192931513079,terrier,5,5,A3.jpg,C,A,0
32519-32519,325192931513079,terrier,5,6,C4.jpg,A,C,0
32519-32519,325192931513079,terrier,5,6,C7.jpg,C,C,1
32519-32519,325192931513079,terrier,5,6,A2.jpg,A,A,1
32519-32519,325192931513079,terrier,5,6,A11.jpg,C,A,0
32519-32519,325192931513079,terrier,5,6,A8.jpg,C,A,0
32519-32519,325192931513079,terrier,5,7,C1.jpg,C,C,1
32519-32519,325192931513079,terrier,5,7,A5.jpg,A,A,1
32519-32519,325192931513079,terrier,5,7,C8.jpg,C,C,1
32519-32519,325192931513079,terrier,5,7,A2.jpg,A,A,1
32519-32519,325192931513079,terrier,5,7,C6.jpg,A,C,0
32519-32519,325192931513079,terrier,5,8,A4.jpg,C,A,0
32519-32519,325192931513079,terrier,5,8,A5.jpg,A,A,1
32519-32519,325192931513079,terrier,5,8,A6.jpg,A,A,1
32519-32519,325192931513079,terrier,5,8,C9.jpg,A,C,0
32519-32519,325192931513079,terrier,5,8,A7.jpg,C,A,0
32519-32519,325192931513079,terrier,5,9,A11.jpg,A,A,1
32519-32519,325192931513079,terrier,5,9,A10.jpg,C,A,0
32519-32519,325192931513079,terrier,5,9,C6.jpg,A,C,0
32519-32519,325192931513079,terrier,5,9,A2.jpg,A,A,1
