treatment,dyad,player,expert_in,novice_in,stage,round,kind,classif,accuracy,queried,answered,answer_correct
single,32519-32519,325192931513079,terrier,hound,Training rounds,1,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,1,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,1,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,1,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,1,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,2,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,2,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,2,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,2,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,2,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,3,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,3,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,3,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,3,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,3,C,A,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,4,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,4,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,4,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,4,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,4,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,5,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,5,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,5,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,5,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,5,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,6,C,A,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,6,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,6,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,6,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,6,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,7,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,7,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,7,C,C,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,7,A,A,1,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,7,C,A,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,8,A,C,0,,,
single,32519-32519,325192931513079,terrier,hound,Training rounds,8,A,A,1,,,
