treatment,stage,dyad,player,expert_in,novice_in,round,object,position,kind,classif,accuracy,expert_dog,queried,answer_correct,answered,yes/no
solo,Training rounds,32519-32519,325192931513079,terrier,hound,1,C11.jpg,frame1,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,1,A1.jpg,frame2,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,1,A7.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,1,A6.jpg,frame4,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,1,A5.jpg,frame5,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,2,A3.jpg,frame1,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,2,C7.jpg,frame2,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,2,A5.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,2,A4.jpg,frame4,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,2,A10.jpg,frame5,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,3,A12.jpg,frame1,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,3,A5.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,3,C8.jpg,frame3,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,3,C5.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,3,C7.jpg,frame5,C,A,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,4,A4.jpg,frame1,A,C,0,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,4,A8.jpg,frame2,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,4,A6.jpg,frame3,A,A,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,4,C5.jpg,frame4,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,4,C7.jpg,frame5,C,C,1,True,,,,
solo,Training rounds,32519-32519,325192931513079,terrier,hound,5,A8.jpg,frame1,A,C,0,True,,,,
