Dyad,Player,Stage,Round,Score
45981-38174,459819203408978,1,1,2
45981-38174,38174543864515,1,1,4
45981-38174,38174543864515,1,2,4
45981-38174,459819203408978,1,2,4
45981-38174,459819203408978,1,3,3
45981-38174,38174543864515,1,3,3
45981-38174,38174543864515,1,4,5
45981-38174,459819203408978,1,4,5
45981-38174,459819203408978,1,5,5
45981-38174,38174543864515,1,5,4
45981-38174,38174543864515,1,6,5
45981-38174,459819203408978,1,6,4
45981-38174,38174543864515,1,7,5
45981-38174,459819203408978,1,7,5
45981-38174,459819203408978,1,8,5
45981-38174,38174543864515,1,8,4
45981-38174,459819203408978,1,9,5
45981-38174,38174543864515,1,9,4
45981-38174,38174543864515,1,10,5
45981-38174,459819203408978,1,10,5
45981-38174,38174543864515,1,11,5
45981-38174,459819203408978,1,11,5
45981-38174,38174543864515,1,12,5
45981-38174,459819203408978,1,12,5
45981-38174,38174543864515,1,13,5
45981-38174,459819203408978,1,13,5
45981-38174,38174543864515,1,14,5
45981-38174,459819203408978,1,14,5
45981-38174,38174543864515,1,15,5
45981-38174,459819203408978,1,15,5
45981-38174,38174543864515,1,16,5
45981-38174,459819203408978,1,16,5
45981-38174,459819203408978,1,17,5
45981-38174,38174543864515,1,17,5
45981-38174,459819203408978,1,18,5
45981-38174,38174543864515,1,18,5
45981-38174,459819203408978,1,19,5
45981-38174,38174543864515,1,19,5
45981-38174,38174543864515,1,20,5
45981-38174,459819203408978,1,20,4
45981-38174,459819203408978,1,21,5
45981-38174,38174543864515,1,21,5
45981-38174,38174543864515,1,22,5
45981-38174,459819203408978,1,22,5
45981-38174,459819203408978,1,23,5
45981-38174,38174543864515,1,23,5
45981-38174,459819203408978,1,24,5
45981-38174,38174543864515,1,24,4
45981-38174,459819203408978,1,25,5
45981-38174,38174543864515,1,25,5
45981-38174,459819203408978,2,1,2
45981-38174,38174543864515,2,1,2
45981-38174,459819203408978,2,2,4
45981-38174,38174543864515,2,2,3
45981-38174,38174543864515,2,3,4
45981-38174,459819203408978,2,3,5
45981-38174,38174543864515,2,4,3
45981-38174,459819203408978,2,4,4
45981-38174,38174543864515,2,5,4
45981-38174,459819203408978,2,5,5
45981-38174,459819203408978,2,6,5
45981-38174,38174543864515,2,6,4
45981-38174,38174543864515,2,7,5
45981-38174,459819203408978,2,7,5
45981-38174,38174543864515,2,8,4
45981-38174,459819203408978,2,8,4
45981-38174,459819203408978,2,9,5
45981-38174,38174543864515,2,9,5
45981-38174,38174543864515,2,10,4
45981-38174,459819203408978,2,10,5
45981-38174,459819203408978,2,11,5
45981-38174,38174543864515,2,11,5
45981-38174,38174543864515,2,12,5
45981-38174,459819203408978,2,12,5
45981-38174,459819203408978,2,13,4
45981-38174,38174543864515,2,13,5
45981-38174,38174543864515,2,14,5
45981-38174,459819203408978,2,14,5
45981-38174,38174543864515,2,15,5
45981-38174,459819203408978,2,15,5
45981-38174,38174543864515,2,16,5
45981-38174,459819203408978,2,16,4
45981-38174,38174543864515,2,17,5
45981-38174,459819203408978,2,17,5
45981-38174,38174543864515,2,18,4
45981-38174,459819203408978,2,18,5
45981-38174,38174543864515,2,19,5
45981-38174,459819203408978,2,19,5
45981-38174,459819203408978,2,20,5
45981-38174,38174543864515,2,20,5
45981-38174,38174543864515,2,21,5
45981-38174,459819203408978,2,21,5
45981-38174,38174543864515,2,22,5
45981-38174,459819203408978,2,22,5
45981-38174,38174543864515,2,23,5
45981-38174,459819203408978,2,23,5
45981-38174,38174543864515,2,24,4
45981-38174,459819203408978,2,24,4
45981-38174,38174543864515,2,25,4
45981-38174,459819203408978,2,25,4
13761-83580,137619579400459,1,1,2
13761-83580,835804561913525,1,1,4
13761-83580,835804561913525,1,2,5
13761-83580,137619579400459,1,2,4
13761-83580,137619579400459,1,3,1
13761-83580,835804561913525,1,3,4
13761-83580,137619579400459,1,4,4
13761-83580,835804561913525,1,4,4
13761-83580,137619579400459,1,5,3
13761-83580,835804561913525,1,5,4
13761-83580,137619579400459,1,6,4
13761-83580,835804561913525,1,6,5
