treatment,player,kind,expertise,report,accuracy,queried,answered,player_responded
dyad,21409433577947,A,experts,7.0,0.9310344827586207,2,0.75,0.9411764705882353
dyad,21409433577947,B,novices,7.0,0.8285714285714286,22,0.9545454545454546,
dyad,21409433577947,C,experts,1.0,0.1,1,1.0,0.8888888888888888
dyad,21409433577947,D,novices,7.0,0.5714285714285714,14,1.0,
dyad,32111755046981,A,novices,5.0,0.6785714285714286,3,0.6666666666666666,
dyad,32111755046981,B,experts,6.0,0.8974358974358975,0,,1.0
dyad,32111755046981,C,novices,4.0,0.7575757575757576,3,1.0,
dyad,32111755046981,D,experts,6.0,0.92,1,1.0,
dyad,38174543864515,A,experts,4.0,0.8888888888888888,0,,1.0
dyad,38174543864515,B,novices,3.0,0.8888888888888888,20,1.0,
dyad,38174543864515,C,experts,7.0,0.9230769230769231,0,,1.0
dyad,38174543864515,D,novices,5.0,0.8333333333333334,23,1.0,
dyad,42404690668940,A,experts,5.0,0.96875,0,,1.0
dyad,42404690668940,B,novices,3.0,0.9130434782608695,16,1.0,
dyad,42404690668940,C,experts,7.0,1.0,0,,1.0
dyad,42404690668940,D,novices,7.0,0.9117647058823529,28,0.9464285714285714,
dyad,56585762474570,A,novices,5.0,0.8846153846153846,20,1.0,
dyad,56585762474570,B,experts,7.0,1.0,0,,1.0
dyad,56585762474570,C,novices,4.0,0.9583333333333334,18,1.0,
dyad,56585762474570,D,experts,7.0,1.0,0,,0.9516129032258065
dyad,101017895939220,A,experts,6.0,0.9743589743589743,0,,
dyad,101017895939220,B,novices,4.0,0.8076923076923077,0,,
dyad,101017895939220,C,experts,7.0,0.9655172413793104,0,,
dyad,101017895939220,D,novices,4.0,0.8064516129032258,0,,
dyad,123795257479166,A,experts,6.0,1.0,0,,1.0
dyad,123795257479166,B,novices,4.0,0.7419354838709677,7,1.0,
dyad,123795257479166,C,experts,7.0,0.96,0,,0.9473684210526315
dyad,123795257479166,D,novices,5.0,0.8666666666666667,7,1.0,
dyad,133644391566106,A,experts,6.0,0.92,0,,1.0
dyad,133644391566106,B,novices,3.0,0.8888888888888888,33,1.0,
dyad,133644391566106,C,experts,7.0,1.0,0,,1.0
dyad,133644391566106,D,novices,3.0,0.96875,31,0.9516129032258065,
dyad,137619579400459,A,experts,7.0,0.9642857142857143,4,0.5,1.0
dyad,137619579400459,B,novices,4.0,0.9032258064516129,10,1.0,
dyad,137619579400459,C,experts,7.0,1.0,0,,1.0
dyad,137619579400459,D,novices,4.0,0.9142857142857143,7,0.8571428571428571,1.0
dyad,153498218008918,A,novices,6.0,0.8918918918918919,25,1.0,
dyad,153498218008918,B,experts,7.0,1.0,0,,0.9565217391304348
dyad,153498218008918,C,novices,4.0,0.8620689655172413,23,1.0,
dyad,153498218008918,D,experts,7.0,1.0,0,,1.0
dyad,180672638373464,A,novices,1.0,0.65625,13,0.7692307692307693,
dyad,180672638373464,B,experts,7.0,0.8518518518518519,0,,1.0
dyad,180672638373464,C,novices,1.0,0.8333333333333334,8,1.0,
dyad,180672638373464,D,experts,7.0,0.9666666666666667,0,,1.0
dyad,235859731771768,A,experts,6.0,0.8620689655172413,0,,0.9791666666666666
dyad,235859731771768,B,novices,3.0,0.9230769230769231,16,1.0,
dyad,235859731771768,C,experts,7.0,0.9523809523809523,0,,0.9333333333333333
dyad,235859731771768,D,novices,2.0,0.9354838709677419,15,1.0,
dyad,277030367725057,A,novices,1.0,0.875,29,1.0,
dyad,277030367725057,B,experts,5.0,1.0,0,,1.0
dyad,277030367725057,C,novices,1.0,0.9444444444444444,32,1.0,
dyad,277030367725057,D,experts,6.0,0.9705882352941176,0,,0.9464285714285714
dyad,281417746344637,A,novices,2.0,0.875,17,0.9411764705882353,0.75
dyad,281417746344637,B,experts,5.0,1.0,0,,0.9545454545454546
dyad,281417746344637,C,novices,2.0,0.6666666666666666,9,0.8888888888888888,1.0
dyad,281417746344637,D,experts,5.0,1.0,0,,1.0
dyad,322563841246444,A,novices,5.0,0.896551724137931,0,,
dyad,322563841246444,B,experts,6.0,0.9411764705882353,0,,0.625
dyad,322563841246444,C,novices,4.0,0.696969696969697,0,,
dyad,322563841246444,D,experts,7.0,0.9655172413793104,0,,0.14285714285714285
dyad,355721802475635,A,novices,6.0,0.8275862068965517,3,0.16666666666666666,
dyad,355721802475635,B,experts,7.0,0.9629629629629629,0,,
dyad,355721802475635,C,novices,6.0,0.8275862068965517,4,0.125,
dyad,355721802475635,D,experts,7.0,1.0,0,,
dyad,362421570668147,A,experts,7.0,0.9655172413793104,0,,1.0
dyad,362421570668147,B,novices,4.0,0.75,5,0.8,
dyad,362421570668147,C,experts,7.0,0.967741935483871,0,,0.5
dyad,362421570668147,D,novices,3.0,0.6666666666666666,1,1.0,
dyad,402371639059063,A,experts,5.0,1.0,1,1.0,0.9714285714285714
dyad,402371639059063,B,novices,3.0,0.9629629629629629,27,1.0,
dyad,402371639059063,C,experts,6.0,0.9736842105263158,2,1.0,1.0
