Player;Raza;Kind;Reporte
21409433577947;terrier;B;7
21409433577947;terrier;D;1
32111755046981;hound;A;6
32111755046981;hound;C;6
38174543864515;terrier;B;4
38174543864515;terrier;D;7
42404690668940;terrier;B;5
42404690668940;terrier;D;7
56585762474570;hound;A;7
56585762474570;hound;C;7
101017895939220;terrier;B;6
101017895939220;terrier;D;7
123795257479166;terrier;B;6
123795257479166;terrier;D;7
133644391566106;terrier;B;6
133644391566106;terrier;D;7
137619579400459;terrier;B;7
137619579400459;terrier;D;7
153498218008918;hound;A;7
153498218008918;hound;C;7
180672638373464;hound;A;7
180672638373464;hound;C;7
235859731771768;terrier;B;6
235859731771768;terrier;D;7
277030367725057;hound;A;5
277030367725057;hound;C;6
281417746344637;hound;A;5
281417746344637;hound;C;5
322563841246444;hound;A;6
322563841246444;hound;C;7
355721802475635;hound;A;7
355721802475635;hound;C;7
362421570668147;terrier;B;7
362421570668147;terrier;D;7
402371639059063;terrier;B;5
402371639059063;terrier;D;6
459819203408978;hound;A;6
459819203408978;hound;C;7
512381829158551;hound;A;7
512381829158551;hound;C;7
522058605648886;hound;A;7
522058605648886;hound;C;7
563641349706418;terrier;B;7
563641349706418;terrier;D;7
563859218939246;hound;A;7
563859218939246;hound;C;7
668507302070680;hound;A;7
668507302070680;hound;C;7
696092780970702;terrier;B;6
696092780970702;terrier;D;6
760791662383499;hound;A;5
760791662383499;hound;C;5
781261847597636;terrier;B;4
781261847597636;terrier;D;4
833437527724022;hound;A;7
833437527724022;hound;C;7
835804561913525;hound;A;7
835804561913525;hound;C;7
843798347728775;terrier;B;4
843798347728775;terrier;D;5
845030447613389;terrier;B;6
845030447613389;terrier;D;7
849465825727611;hound;A;6
849465825727611;hound;C;6
864237546831637;terrier;B;5
864237546831637;terrier;D;5
874807326893128;terrier;B;7
874807326893128;terrier;D;7
916659229295256;hound;A;7
916659229295256;hound;C;7
919215741319732;terrier;B;4
919215741319732;terrier;D;6
939838105107843;terrier;B;5
939838105107843;terrier;D;6
943864992920336;hound;A;7
943864992920336;hound;C;7
951034904396380;terrier;B;6
951034904396380;terrier;D;7
