Dyad,Player,Raza,Stage,Round,Contador,Perro,Rotulo,suposicion,Recibido,Time_sent,Time_received,Kind,Correctitud
45981-38174,38174543864515,terrier,2,2,1,Perro1,D,Nada,Si,1568830940132,1568830951051.0,D,1
45981-38174,38174543864515,terrier,2,2,2,Perro5,B,Nada,Si,1568830943667,1568830955954.0,B,1
45981-38174,459819203408978,hound,2,2,1,Perro4,C,Nada,Si,1568830946053,1568830961292.0,A,0
45981-38174,459819203408978,hound,2,3,1,Perro1,A,Nada,Si,1568831011210,1568831021767.0,A,1
45981-38174,459819203408978,hound,2,3,2,Perro2,C,Nada,Si,1568831021810,1568831028475.0,C,1
45981-38174,38174543864515,terrier,2,4,1,Perro3,D,Nada,No,1568831065703,1568831071732.0,B,1
45981-38174,459819203408978,hound,2,5,1,Perro2,A,Nada,No,1568831118805,1568831124428.0,C,1
45981-38174,459819203408978,hound,2,5,2,Perro4,A,A,No,1568831136530,1568831141964.0,C,1
45981-38174,38174543864515,terrier,2,5,1,Perro3,D,D,Si,1568831137556,1568831141730.0,D,1
45981-38174,38174543864515,terrier,2,5,2,Perro5,B,B,Si,1568831151787,1568831156515.0,B,1
45981-38174,38174543864515,terrier,2,6,1,Perro4,D,Nada,Si,1568831182048,1568831185466.0,D,1
45981-38174,459819203408978,hound,2,6,1,Perro3,A,Nada,Si,1568831188299,1568831193508.0,A,1
45981-38174,38174543864515,terrier,2,7,1,Perro3,B,Nada,Si,1568831242457,1568831245884.0,B,1
45981-38174,38174543864515,terrier,2,7,2,Perro5,A,Nada,No,1568831265420,1568831270127.0,D,1
45981-38174,459819203408978,hound,2,8,1,Perro5,C,Nada,Si,1568831309271,1568831318382.0,A,0
45981-38174,459819203408978,hound,2,8,2,Perro3,C,C,Si,1568831318091,1568831322156.0,C,1
45981-38174,38174543864515,terrier,2,8,1,Perro1,D,D,Si,1568831329436,1568831333587.0,D,1
45981-38174,38174543864515,terrier,2,8,2,Perro4,D,D,No,1568831338425,1568831343220.0,B,1
45981-38174,38174543864515,terrier,2,8,3,Perro2,D,D,Si,1568831349581,1568831352708.0,D,1
45981-38174,38174543864515,terrier,2,9,1,Perro2,B,Nada,Si,1568831378984,1568831382844.0,B,1
45981-38174,38174543864515,terrier,2,9,2,Perro1,B,Nada,Si,1568831381645,1568831388732.0,B,1
45981-38174,459819203408978,hound,2,9,1,Perro5,C,Nada,Si,1568831401412,1568831405590.0,C,1
45981-38174,38174543864515,terrier,2,10,1,Perro1,D,Nada,Si,1568831435956,1568831439861.0,D,1
45981-38174,38174543864515,terrier,2,10,2,Perro2,D,Nada,Si,1568831439341,1568831444652.0,D,1
45981-38174,38174543864515,terrier,2,10,3,Perro3,B,Nada,Si,1568831442213,1568831449615.0,B,1
45981-38174,38174543864515,terrier,2,10,4,Perro4,D,Nada,Si,1568831453893,1568831458780.0,D,1
45981-38174,38174543864515,terrier,2,10,5,Perro5,B,Nada,Si,1568831458588,1568831464661.0,D,0
45981-38174,38174543864515,terrier,2,11,1,Perro4,B,D,No,1568831503664,1568831507957.0,D,1
45981-38174,38174543864515,terrier,2,11,2,Perro3,D,D,Si,1568831508839,1568831514237.0,D,1
45981-38174,459819203408978,hound,2,11,1,Perro5,A,A,Si,1568831526837,1568831530774.0,A,1
45981-38174,459819203408978,hound,2,11,2,Perro1,A,A,Si,1568831538144,1568831542638.0,A,1
45981-38174,38174543864515,terrier,2,12,1,Perro3,B,B,Si,1568831575334,1568831579287.0,B,1
45981-38174,38174543864515,terrier,2,12,2,Perro4,B,Nada,Si,1568831577381,1568831585087.0,B,1
45981-38174,38174543864515,terrier,2,12,3,Perro5,D,Nada,Si,1568831581112,1568831587622.0,D,1
45981-38174,459819203408978,hound,2,12,1,Perro2,C,Nada,No,1568831582287,1568831599853.0,A,1
45981-38174,459819203408978,hound,2,12,2,Perro1,A,A,Si,1568831622846,1568831626823.0,A,1
45981-38174,38174543864515,terrier,2,13,1,Perro3,B,Nada,Si,1568831643470,1568831647034.0,B,1
45981-38174,38174543864515,terrier,2,13,2,Perro4,D,Nada,Si,1568831645614,1568831653367.0,D,1
45981-38174,459819203408978,hound,2,13,1,Perro1,A,A,Si,1568831659952,1568831666759.0,A,1
45981-38174,459819203408978,hound,2,13,2,Perro5,C,C,Si,1568831670839,1568831675534.0,C,1
45981-38174,38174543864515,terrier,2,14,1,Perro3,D,D,Si,1568831714743,1568831718271.0,D,1
45981-38174,459819203408978,hound,2,14,1,Perro1,A,A,Si,1568831723039,1568831733064.0,A,1
45981-38174,38174543864515,terrier,2,14,2,Perro5,B,B,Si,1568831724432,1568831727832.0,B,1
45981-38174,38174543864515,terrier,2,14,3,Perro4,D,D,Si,1568831726735,1568831733263.0,D,1
45981-38174,459819203408978,hound,2,14,2,Perro2,A,A,Si,1568831752174,1568831755886.0,A,1
45981-38174,459819203408978,hound,2,15,1,Perro4,A,Nada,No,1568831780680,1568831790510.0,C,1
45981-38174,38174543864515,terrier,2,15,1,Perro3,D,D,Si,1568831783905,1568831787382.0,D,1
45981-38174,38174543864515,terrier,2,15,2,Perro5,B,B,Si,1568831785991,1568831795039.0,B,1
45981-38174,459819203408978,hound,2,15,2,Perro2,A,A,No,1568831802904,1568831807463.0,C,1
45981-38174,459819203408978,hound,2,15,3,Perro1,A,A,Si,1568831818009,1568831821711.0,A,1
45981-38174,459819203408978,hound,2,16,1,Perro4,A,Nada,Si,1568831844208,1568831847792.0,A,1
45981-38174,459819203408978,hound,2,16,2,Perro5,C,Nada,No,1568831851793,1568831856969.0,A,1
45981-38174,38174543864515,terrier,2,16,1,Perro3,B,B,Si,1568831852575,1568831855616.0,B,1
45981-38174,459819203408978,hound,2,16,3,Perro1,A,Nada,No se,1568831869216,1568831872199.0,A,0
45981-38174,459819203408978,hound,2,16,4,Perro2,A,Nada,No,1568831886711,1568831891912.0,C,1
45981-38174,459819203408978,hound,2,17,1,Perro4,A,Nada,Si,1568831935258,1568831946792.0,A,1
45981-38174,38174543864515,terrier,2,17,1,Perro5,D,D,Si,1568831940367,1568831943977.0,D,1
45981-38174,38174543864515,terrier,2,17,2,Perro3,D,D,Si,1568831941727,1568831950409.0,D,1
45981-38174,38174543864515,terrier,2,17,3,Perro2,D,D,Si,1568831943120,1568831952401.0,D,1
45981-38174,459819203408978,hound,2,17,2,Perro1,A,Nada,No,1568831955553,1568831962808.0,C,1
45981-38174,459819203408978,hound,2,18,1,Perro2,A,Nada,Si,1568831988481,1568832004027.0,A,1
45981-38174,459819203408978,hound,2,18,2,Perro3,C,C,Si,1568832014657,1568832018864.0,C,1
45981-38174,38174543864515,terrier,2,18,1,Perro4,B,B,Si,1568832021817,1568832026219.0,B,1
45981-38174,38174543864515,terrier,2,18,2,Perro1,B,B,Si,1568832024159,1568832028442.0,B,1
45981-38174,459819203408978,hound,2,20,1,Perro2,C,C,Si,1568832105426,1568832110248.0,C,1
45981-38174,38174543864515,terrier,2,20,1,Perro4,D,D,Si,1568832113080,1568832116186.0,D,1
45981-38174,38174543864515,terrier,2,20,2,Perro1,B,B,Si,1568832117896,1568832124970.0,B,1
45981-38174,459819203408978,hound,2,20,2,Perro3,C,C,Si,1568832145594,1568832149784.0,C,1
45981-38174,459819203408978,hound,2,21,1,Perro4,C,Nada,Si,1568832176483,1568832185752.0,C,1
45981-38174,38174543864515,terrier,2,21,1,Perro5,B,B,Si,1568832188161,1568832191403.0,B,1
45981-38174,38174543864515,terrier,2,21,2,Perro2,D,D,Si,1568832191009,1568832194204.0,D,1
45981-38174,459819203408978,hound,2,22,1,Perro5,C,Nada,Si,1568832212243,1568832217025.0,C,1
45981-38174,38174543864515,terrier,2,22,1,Perro1,B,B,Si,1568832220771,1568832223451.0,B,1
45981-38174,459819203408978,hound,2,23,1,Perro4,A,Nada,Si,1568832258771,1568832262993.0,A,1
45981-38174,459819203408978,hound,2,23,2,Perro1,A,A,Si,1568832263876,1568832273137.0,A,1
