Dyad,Player,Genero,Edad,Carrera,Estrategia
45981-38174,38174543864515,0,0,6,2
45981-38174,459819203408978,0,0,0,1
13761-83580,137619579400459,1,1,6,1
13761-83580,835804561913525,1,0,6,2
42404-27703,277030367725057,1,1,2,0
42404-27703,42404690668940,3,1,5,1
15349-95103,153498218008918,1,0,6,1
15349-95103,951034904396380,1,0,4,1
91665-36242,362421570668147,0,1,4,1
91665-36242,916659229295256,0,1,2,2
86423-32256,322563841246444,0,0,6,2
86423-32256,864237546831637,1,1,1,1
13364-56585,56585762474570,1,1,6,1
13364-56585,133644391566106,1,0,6,1
32111-69609,32111755046981,0,0,5,1
32111-69609,696092780970702,1,1,4,1
76562-84503,765625247183286,1,1,!?_null,1
76562-84503,845030447613389,1,0,0,2
10101-83343,101017895939220,0,0,5,2
10101-83343,833437527724022,1,0,2,2
28141-21409,281417746344637,1,1,5,1
28141-21409,21409433577947,0,1,6,1
94386-40237,943864992920336,0,0,6,1
94386-40237,402371639059063,1,0,5,1
23585-52205,235859731771768,0,1,5,2
23585-52205,522058605648886,1,1,5,1
76079-87480,760791662383499,1,0,5,1
76079-87480,874807326893128,1,1,6,1
56385-93983,939838105107843,0,0,5,1
56385-93983,563859218939246,1,0,5,2
18067-91921,919215741319732,1,0,5,1
18067-91921,180672638373464,0,7,6,1
12379-51238,512381829158551,1,0,4,1
12379-51238,123795257479166,1,1,6,1
84379-84946,843798347728775,1,0,5,1
84379-84946,849465825727611,0,1,5,2
78126-35572,781261847597636,1,1,2,1
78126-35572,355721802475635,1,1,1,2
56364-66850,563641349706418,0,1,6,2
56364-66850,668507302070680,0,0,2,1
