Dyad,Player,Stage,Round,Score
32519-32519,325192931513079,5,1,4
32519-32519,325192931513079,5,2,2
32519-32519,325192931513079,5,3,4
32519-32519,325192931513079,5,4,4
32519-32519,325192931513079,5,5,3
32519-32519,325192931513079,5,6,2
32519-32519,325192931513079,5,7,4
32519-32519,325192931513079,5,8,2
32519-32519,325192931513079,5,9,2
32519-32519,325192931513079,5,10,1
32519-32519,325192931513079,5,11,4
32519-32519,325192931513079,5,12,4
32519-32519,325192931513079,5,13,3
32519-32519,325192931513079,5,14,3
32519-32519,325192931513079,5,16,3
32519-32519,325192931513079,5,17,3
32519-32519,325192931513079,5,18,5
32519-32519,325192931513079,5,19,3
32519-32519,325192931513079,5,20,3
32519-32519,325192931513079,5,21,5
32519-32519,325192931513079,5,22,4
32519-32519,325192931513079,5,23,5
32519-32519,325192931513079,5,24,4
32519-32519,325192931513079,5,25,4
32519-32519,325192931513079,6,1,4
32519-32519,325192931513079,6,2,3
32519-32519,325192931513079,6,3,2
32519-32519,325192931513079,6,4,5
32519-32519,325192931513079,6,5,4
32519-32519,325192931513079,6,6,4
32519-32519,325192931513079,6,7,5
32519-32519,325192931513079,6,8,3
32519-32519,325192931513079,6,9,3
32519-32519,325192931513079,6,10,4
32519-32519,325192931513079,6,11,5
32519-32519,325192931513079,6,12,4
32519-32519,325192931513079,6,13,4
32519-32519,325192931513079,6,14,4
32519-32519,325192931513079,6,15,4
32519-32519,325192931513079,6,16,5
32519-32519,325192931513079,6,17,4
32519-32519,325192931513079,6,18,4
32519-32519,325192931513079,6,19,4
32519-32519,325192931513079,6,20,5
32519-32519,325192931513079,6,21,5
32519-32519,325192931513079,6,22,5
32519-32519,325192931513079,6,23,5
32519-32519,325192931513079,6,24,4
32519-32519,325192931513079,6,25,4
