Dyad,Player,Round,objectAsked,objectReceived
79317-47777,793179846249445,1,DUP,Otro-A-B-VP-HI
79317-47777,793179846249445,2,XOL,-
79317-47777,793179846249445,2,ZAB,Ignorar
79317-47777,793179846249445,3,DUP,-
79317-47777,793179846249445,4,ZAB,-
79317-47777,477779844461679,4,DUP,Dup
79317-47777,477779844461679,4,DUP,Otro-R-G-VP-HI
79317-47777,477779844461679,4,DUP,-
79317-47777,793179846249445,6,ZAB,-
79317-47777,793179846249445,6,DUP,-
79317-47777,793179846249445,7,ZAB,-
79317-47777,793179846249445,7,DUP,-
79317-47777,477779844461679,7,DUP,-
79317-47777,477779844461679,7,DUP,-
79317-47777,793179846249445,7,DUP,-
79317-47777,793179846249445,8,DUP,-
79317-47777,793179846249445,8,XOL,-
79317-47777,477779844461679,8,DUP,-
79317-47777,477779844461679,8,ZAB,-
79317-47777,477779844461679,8,ZAB,-
79317-47777,793179846249445,8,XOL,-
79317-47777,477779844461679,8,DUP,-
79317-47777,793179846249445,9,ZAB,-
79317-47777,477779844461679,9,ZAB,-
79317-47777,793179846249445,9,ZAB,-
79317-47777,477779844461679,9,DUP,-
79317-47777,477779844461679,9,DUP,-
79317-47777,793179846249445,9,DUP,-
79317-47777,793179846249445,9,ZAB,-
79317-47777,793179846249445,10,XOL,-
79317-47777,477779844461679,10,ZAB,-
79317-47777,793179846249445,10,ZAB,-
79317-47777,793179846249445,10,ZAB,-
79317-47777,477779844461679,10,ZAB,-
79317-47777,793179846249445,10,DUP,-
79317-47777,793179846249445,10,XOL,-
79317-47777,477779844461679,10,ZAB,-
79317-47777,793179846249445,10,XOL,-
79317-47777,793179846249445,10,XOL,-
79317-47777,477779844461679,10,DUP,-
79317-47777,477779844461679,10,DUP,-
79317-47777,477779844461679,10,XOL,-
79317-47777,793179846249445,10,DUP,-
79317-47777,793179846249445,11,DUP,-
79317-47777,793179846249445,11,DUP,-
79317-47777,793179846249445,11,DUP,-
79317-47777,793179846249445,11,DUP,-
79317-47777,793179846249445,11,DUP,-
79317-47777,477779844461679,11,ZAB,-
79317-47777,477779844461679,11,ZAB,-
79317-47777,477779844461679,11,ZAB,-
79317-47777,477779844461679,11,ZAB,-
79317-47777,477779844461679,11,ZAB,-
79317-47777,793179846249445,11,DUP,-
79317-47777,793179846249445,11,DUP,-
79317-47777,793179846249445,11,DUP,-
79317-47777,793179846249445,12,ZAB,-
79317-47777,793179846249445,12,XOL,-
79317-47777,793179846249445,12,XOL,-
79317-47777,793179846249445,12,DUP,-
79317-47777,477779844461679,12,DUP,-
79317-47777,477779844461679,12,DUP,-
79317-47777,477779844461679,12,DUP,-
79317-47777,477779844461679,12,DUP,-
79317-47777,793179846249445,12,XOL,-
79317-47777,477779844461679,12,DUP,-
79317-47777,477779844461679,12,ZAB,-
79317-47777,477779844461679,13,DUP,-
79317-47777,477779844461679,13,ZAB,-
79317-47777,793179846249445,13,XOL,-
79317-47777,477779844461679,13,DUP,-
79317-47777,793179846249445,13,ZAB,-
79317-47777,793179846249445,13,ZAB,-
79317-47777,477779844461679,13,ZAB,-
79317-47777,477779844461679,13,XOL,-
79317-47777,793179846249445,14,DUP,-
79317-47777,477779844461679,14,DUP,-
79317-47777,793179846249445,14,XOL,-
79317-47777,793179846249445,14,XOL,-
79317-47777,793179846249445,14,XOL,-
79317-47777,793179846249445,14,ZAB,-
79317-47777,793179846249445,14,DUP,-
79317-47777,477779844461679,14,DUP,-
79317-47777,477779844461679,14,ZAB,-
79317-47777,477779844461679,14,XOL,-
79317-47777,793179846249445,14,ZAB,-
79317-47777,793179846249445,14,DUP,-
79317-47777,793179846249445,14,DUP,-
79317-47777,793179846249445,14,DUP,-
79317-47777,793179846249445,15,ZAB,-
79317-47777,477779844461679,15,DUP,-
79317-47777,793179846249445,15,DUP,-
79317-47777,793179846249445,15,ZAB,-
79317-47777,793179846249445,15,DUP,-
79317-47777,793179846249445,15,DUP,-
79317-47777,477779844461679,15,DUP,-
79317-47777,793179846249445,15,ZAB,-
79317-47777,793179846249445,15,DUP,-
79317-47777,477779844461679,15,DUP,-
79317-47777,477779844461679,15,DUP,-
79317-47777,793179846249445,15,DUP,-
79317-47777,477779844461679,15,DUP,-
79317-47777,793179846249445,15,XOL,-
77849-13016,130164602795595,1,ZAB,Xol
77849-13016,130164602795595,1,XOL,Otro-R-G-VP-HI
77849-13016,130164602795595,2,ZAB,-
77849-13016,130164602795595,2,XOL,-
77849-13016,130164602795595,2,ZAB,Otro-R-G-VP-HI
77849-13016,130164602795595,3,XOL,-
77849-13016,778491975418362,3,DUP,Dup
77849-13016,778491975418362,3,XOL,Ignorar
77849-13016,778491975418362,3,ZAB,Ignorar
77849-13016,778491975418362,3,XOL,Ignorar
77849-13016,778491975418362,3,DUP,Otro-A-G-VP-HI
77849-13016,778491975418362,3,XOL,Ignorar
77849-13016,778491975418362,3,DUP,-
77849-13016,778491975418362,3,ZAB,-
77849-13016,778491975418362,3,DUP,-
77849-13016,778491975418362,3,XOL,-
77849-13016,778491975418362,3,DUP,-
77849-13016,778491975418362,3,ZAB,-
77849-13016,778491975418362,3,XOL,-
77849-13016,778491975418362,3,DUP,-
