Dyad,Player,Round,objectMarked
79317-47777,477779844461679,2,Xol
79317-47777,477779844461679,2,Xol
79317-47777,477779844461679,3,Xol
79317-47777,477779844461679,3,Xol
79317-47777,477779844461679,3,Xol
79317-47777,477779844461679,3,Xol
79317-47777,477779844461679,3,Xol
79317-47777,477779844461679,3,Xol
79317-47777,477779844461679,4,Xol
79317-47777,477779844461679,4,Xol
79317-47777,477779844461679,5,Otro-A-G-VP-HI
79317-47777,477779844461679,5,Xol
79317-47777,477779844461679,5,Xol
79317-47777,477779844461679,5,Xol
79317-47777,477779844461679,5,Xol
79317-47777,477779844461679,5,Xol
79317-47777,477779844461679,6,Otro-A-B-VP-HI
79317-47777,477779844461679,6,Otro-A-B-VP-HI
79317-47777,477779844461679,7,Xol
79317-47777,477779844461679,7,Xol
79317-47777,477779844461679,7,Xol
79317-47777,477779844461679,7,Xol
79317-47777,477779844461679,7,Xol
79317-47777,793179846249445,7,Otro-R-B-VP-HI
79317-47777,477779844461679,7,Xol
79317-47777,793179846249445,8,Dup
79317-47777,477779844461679,8,Xol
79317-47777,477779844461679,8,Otro-A-B-VP-HI
79317-47777,793179846249445,9,Dup
79317-47777,477779844461679,9,Xol
79317-47777,793179846249445,9,Otro-R-B-VP-HI
79317-47777,477779844461679,9,Otro-R-B-VP-HI
79317-47777,793179846249445,9,Otro-R-B-VP-HI
79317-47777,477779844461679,9,Otro-R-B-VP-HI
79317-47777,477779844461679,9,Otro-R-B-VP-HI
79317-47777,477779844461679,10,Otro-A-B-VP-HI
79317-47777,477779844461679,10,Xol
79317-47777,477779844461679,11,Xol
79317-47777,477779844461679,11,Xol
79317-47777,477779844461679,11,Xol
79317-47777,477779844461679,11,Xol
79317-47777,477779844461679,11,Xol
79317-47777,477779844461679,11,Xol
79317-47777,477779844461679,11,Xol
79317-47777,477779844461679,11,Xol
79317-47777,477779844461679,12,Otro-R-B-VP-HI
79317-47777,477779844461679,12,Xol
79317-47777,477779844461679,12,Xol
79317-47777,477779844461679,12,Xol
79317-47777,477779844461679,12,Xol
79317-47777,477779844461679,12,Xol
79317-47777,477779844461679,12,Xol
79317-47777,477779844461679,12,Xol
79317-47777,477779844461679,12,Otro-A-G-VP-HI
79317-47777,793179846249445,13,Dup
79317-47777,477779844461679,13,Xol
79317-47777,793179846249445,13,Dup
79317-47777,477779844461679,13,Xol
79317-47777,477779844461679,13,Otro-A-B-VP-HI
79317-47777,477779844461679,13,Otro-A-B-VP-HI
79317-47777,793179846249445,15,Dup
79317-47777,477779844461679,15,Otro-A-G-VP-HI
79317-47777,477779844461679,15,Xol
79317-47777,477779844461679,15,Xol
79317-47777,477779844461679,15,Xol
79317-47777,477779844461679,15,Otro-A-G-VP-HI
79317-47777,477779844461679,15,Otro-R-B-VP-HI
79317-47777,477779844461679,15,Xol
79317-47777,477779844461679,15,Otro-A-B-VP-HI
79317-47777,477779844461679,15,Otro-R-G-VP-HI
79317-47777,477779844461679,15,Otro-A-B-VP-HI
79317-47777,477779844461679,15,Xol
79317-47777,477779844461679,15,Otro-A-B-VP-HI
79317-47777,477779844461679,15,Otro-A-B-VP-HI
79317-47777,477779844461679,15,Otro-R-G-VP-HI
79317-47777,477779844461679,15,Otro-A-B-VP-HI
77849-13016,778491975418362,1,Xol
77849-13016,778491975418362,1,Otro-A-G-VP-HI
77849-13016,778491975418362,1,Xol
77849-13016,778491975418362,1,Otro-A-B-VP-HI
77849-13016,778491975418362,1,Xol
77849-13016,778491975418362,2,Xol
77849-13016,778491975418362,4,Xol
77849-13016,778491975418362,4,Xol
77849-13016,778491975418362,5,Otro-R-G-VP-HI
77849-13016,778491975418362,5,Otro-R-G-VP-HI
77849-13016,778491975418362,9,Otro-A-G-VP-HI
77849-13016,778491975418362,10,Otro-R-G-VP-HI
77849-13016,778491975418362,10,Otro-R-G-VP-HI
77849-13016,778491975418362,10,Otro-R-G-VP-HI
77849-13016,778491975418362,11,Otro-A-B-VP-HI
77849-13016,778491975418362,11,Otro-A-G-VP-HI
77849-13016,778491975418362,14,Xol
77849-13016,778491975418362,15,Otro-R-B-VP-HI
93498-57924,934989713159287,1,Otro-A-G-VP-HI
93498-57924,934989713159287,1,Otro-A-G-VP-HI
93498-57924,934989713159287,1,Dup
93498-57924,934989713159287,1,Otro-A-G-VP-HI
93498-57924,934989713159287,1,Dup
93498-57924,934989713159287,1,Otro-A-G-VP-HI
93498-57924,934989713159287,1,Dup
93498-57924,579246711735224,1,Xol
93498-57924,579246711735224,2,Xol
93498-57924,579246711735224,2,Otro-R-B-VP-HI
93498-57924,934989713159287,2,Dup
93498-57924,579246711735224,3,Xol
93498-57924,934989713159287,3,Otro-A-G-VP-HI
93498-57924,934989713159287,3,Otro-A-B-VP-HI
93498-57924,579246711735224,8,Otro-A-G-VP-HI
93498-57924,934989713159287,8,Xol
93498-57924,579246711735224,9,Otro-R-B-VP-HI
93498-57924,579246711735224,9,Otro-R-B-VP-HI
93498-57924,579246711735224,10,Xol
93498-57924,579246711735224,11,Otro-R-G-VP-HI
93498-57924,579246711735224,12,Otro-R-B-VP-HI
93498-57924,579246711735224,12,Otro-R-B-VP-HI
93498-57924,579246711735224,13,Xol
93498-57924,579246711735224,14,Otro-A-G-VP-HI
24333-14307,243335730149512,1,Dup
24333-14307,243335730149512,1,Dup
24333-14307,243335730149512,1,Otro-A-G-VP-HI
24333-14307,243335730149512,2,Dup
24333-14307,243335730149512,2,Otro-A-G-VP-HI
24333-14307,243335730149512,3,Dup
24333-14307,143073090680852,4,Otro-R-G-VP-HI
24333-14307,143073090680852,4,Otro-R-B-VP-HI
24333-14307,143073090680852,5,Xol
24333-14307,143073090680852,5,Xol
24333-14307,143073090680852,5,Xol
24333-14307,143073090680852,5,Xol
24333-14307,143073090680852,5,Xol
24333-14307,243335730149512,5,Xol
24333-14307,143073090680852,6,Xol
24333-14307,143073090680852,6,Xol
24333-14307,143073090680852,6,Xol
24333-14307,143073090680852,6,Xol
24333-14307,143073090680852,6,Xol
24333-14307,143073090680852,6,Xol
24333-14307,143073090680852,7,Xol
24333-14307,143073090680852,7,Xol
24333-14307,143073090680852,7,Xol
24333-14307,143073090680852,7,Xol
24333-14307,143073090680852,7,Xol
24333-14307,143073090680852,7,Otro-R-B-VP-HI
24333-14307,143073090680852,7,Otro-A-G-VP-HI
24333-14307,143073090680852,8,Otro-A-B-VP-HI
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Otro-A-B-VP-HI
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,8,Xol
24333-14307,143073090680852,9,Xol
24333-14307,143073090680852,9,Xol
24333-14307,143073090680852,9,Otro-R-B-VP-HI
24333-14307,143073090680852,9,Otro-R-B-VP-HI
