treatment,player,kind,expertise,report,accuracy,queried,answered,player_responded
paired,21409433577947,A,experts,7.0,0.9310344827586207,0.02247191011235955,0.75,0.9411764705882353
paired,21409433577947,B,novices,7.0,0.8285714285714286,0.6285714285714286,0.9545454545454546,
paired,21409433577947,C,experts,1.0,0.1,0.011111111111111112,1.0,0.8888888888888888
paired,21409433577947,D,novices,7.0,0.5714285714285714,0.6666666666666666,1.0,
paired,32111755046981,A,novices,5.0,0.6785714285714286,0.10714285714285714,0.6666666666666666,
paired,32111755046981,B,experts,6.0,0.8974358974358975,0.0,,1.0
paired,32111755046981,C,novices,4.0,0.7575757575757576,0.09090909090909091,1.0,
paired,32111755046981,D,experts,6.0,0.92,0.010638297872340425,1.0,
paired,38174543864515,A,experts,4.0,0.8888888888888888,0.0,,1.0
paired,38174543864515,B,novices,3.0,0.8888888888888888,0.5555555555555556,1.0,
paired,38174543864515,C,experts,7.0,0.9230769230769231,0.0,,1.0
paired,38174543864515,D,novices,5.0,0.8333333333333334,0.6388888888888888,1.0,
paired,42404690668940,A,experts,5.0,0.96875,0.0,,1.0
paired,42404690668940,B,novices,3.0,0.9130434782608695,0.6956521739130435,1.0,
paired,42404690668940,C,experts,7.0,1.0,0.0,,1.0
paired,42404690668940,D,novices,7.0,0.9117647058823529,0.8235294117647058,0.9464285714285714,
paired,56585762474570,A,novices,5.0,0.8846153846153846,0.7692307692307693,1.0,
paired,56585762474570,B,experts,7.0,1.0,0.0,,1.0
paired,56585762474570,C,novices,4.0,0.9583333333333334,0.75,1.0,
paired,56585762474570,D,experts,7.0,1.0,0.0,,0.9516129032258065
paired,101017895939220,A,experts,6.0,0.9743589743589743,0.0,,
paired,101017895939220,B,novices,4.0,0.8076923076923077,0.0,,
paired,101017895939220,C,experts,7.0,0.9655172413793104,0.0,,
paired,101017895939220,D,novices,4.0,0.8064516129032258,0.0,,
paired,123795257479166,A,experts,6.0,1.0,0.0,,1.0
paired,123795257479166,B,novices,4.0,0.7419354838709677,0.22580645161290322,1.0,
paired,123795257479166,C,experts,7.0,0.96,0.0,,0.9473684210526315
paired,123795257479166,D,novices,5.0,0.8666666666666667,0.23333333333333334,1.0,
paired,133644391566106,A,experts,6.0,0.92,0.0,,1.0
paired,133644391566106,B,novices,3.0,0.8888888888888888,0.9166666666666666,1.0,
paired,133644391566106,C,experts,7.0,1.0,0.0,,1.0
paired,133644391566106,D,novices,3.0,0.96875,0.96875,0.9516129032258065,
paired,137619579400459,A,experts,7.0,0.9642857142857143,0.041237113402061855,0.5,1.0
paired,137619579400459,B,novices,4.0,0.9032258064516129,0.3225806451612903,1.0,
paired,137619579400459,C,experts,7.0,1.0,0.0,,1.0
paired,137619579400459,D,novices,4.0,0.9142857142857143,0.2,0.8571428571428571,1.0
paired,153498218008918,A,novices,6.0,0.8918918918918919,0.6756756756756757,1.0,
paired,153498218008918,B,experts,7.0,1.0,0.0,,0.9565217391304348
paired,153498218008918,C,novices,4.0,0.8620689655172413,0.7931034482758621,1.0,
paired,153498218008918,D,experts,7.0,1.0,0.0,,1.0
paired,180672638373464,A,novices,1.0,0.65625,0.40625,0.7692307692307693,
paired,180672638373464,B,experts,7.0,0.8518518518518519,0.0,,1.0
paired,180672638373464,C,novices,1.0,0.8333333333333334,0.2222222222222222,1.0,
paired,180672638373464,D,experts,7.0,0.9666666666666667,0.0,,1.0
paired,235859731771768,A,experts,6.0,0.8620689655172413,0.0,,0.9791666666666666
paired,235859731771768,B,novices,3.0,0.9230769230769231,0.41025641025641024,1.0,
paired,235859731771768,C,experts,7.0,0.9523809523809523,0.0,,0.9333333333333333
paired,235859731771768,D,novices,2.0,0.9354838709677419,0.4838709677419355,1.0,
paired,277030367725057,A,novices,1.0,0.875,0.90625,1.0,
paired,277030367725057,B,experts,5.0,1.0,0.0,,1.0
paired,277030367725057,C,novices,1.0,0.9444444444444444,0.8888888888888888,1.0,
paired,277030367725057,D,experts,6.0,0.9705882352941176,0.0,,0.9464285714285714
paired,281417746344637,A,novices,2.0,0.875,0.53125,0.9411764705882353,0.75
paired,281417746344637,B,experts,5.0,1.0,0.0,,0.9545454545454546
