Dyad,Player,Stage,Round,Score
91186-84550,911861390465713,1,1,3
91186-84550,845503612774143,1,1,2
91186-84550,845503612774143,1,2,3
91186-84550,911861390465713,1,2,5
91186-84550,911861390465713,1,3,4
91186-84550,845503612774143,1,3,4
91186-84550,845503612774143,1,4,1
91186-84550,911861390465713,1,4,3
91186-84550,911861390465713,1,5,3
91186-84550,845503612774143,1,5,4
91186-84550,911861390465713,1,6,2
91186-84550,845503612774143,1,6,3
91186-84550,911861390465713,1,7,2
91186-84550,845503612774143,1,7,4
91186-84550,911861390465713,1,8,3
91186-84550,845503612774143,1,8,2
91186-84550,911861390465713,1,9,1
91186-84550,845503612774143,1,9,1
91186-84550,911861390465713,1,10,2
91186-84550,845503612774143,1,10,4
91186-84550,911861390465713,1,11,3
91186-84550,845503612774143,1,11,4
91186-84550,911861390465713,1,12,5
91186-84550,845503612774143,1,12,4
91186-84550,911861390465713,1,13,5
91186-84550,845503612774143,1,13,3
91186-84550,911861390465713,1,14,4
91186-84550,845503612774143,1,14,2
91186-84550,911861390465713,1,15,4
91186-84550,845503612774143,1,15,5
91186-84550,845503612774143,1,16,4
91186-84550,911861390465713,1,16,3
91186-84550,911861390465713,1,17,3
91186-84550,845503612774143,1,17,3
91186-84550,911861390465713,1,18,4
91186-84550,845503612774143,1,18,1
91186-84550,911861390465713,1,19,4
91186-84550,845503612774143,1,19,4
91186-84550,911861390465713,1,20,4
91186-84550,845503612774143,1,20,2
91186-84550,911861390465713,2,1,3
91186-84550,845503612774143,2,1,1
91186-84550,911861390465713,2,2,3
91186-84550,845503612774143,2,2,1
91186-84550,911861390465713,2,3,5
91186-84550,845503612774143,2,3,1
91186-84550,911861390465713,2,4,3
91186-84550,845503612774143,2,4,0
91186-84550,911861390465713,2,5,3
91186-84550,845503612774143,2,5,0
91186-84550,911861390465713,2,6,5
91186-84550,845503612774143,2,6,2
91186-84550,911861390465713,2,7,5
91186-84550,845503612774143,2,7,2
91186-84550,911861390465713,2,8,3
91186-84550,845503612774143,2,8,1
91186-84550,911861390465713,2,9,2
91186-84550,845503612774143,2,9,0
91186-84550,911861390465713,2,10,2
91186-84550,845503612774143,2,10,3
91186-84550,845503612774143,2,11,1
91186-84550,911861390465713,2,11,3
91186-84550,911861390465713,2,12,3
91186-84550,845503612774143,2,12,4
91186-84550,911861390465713,2,13,3
91186-84550,845503612774143,2,13,3
91186-84550,911861390465713,2,14,4
91186-84550,845503612774143,2,14,3
91186-84550,911861390465713,2,15,2
91186-84550,845503612774143,2,15,2
91186-84550,911861390465713,2,16,4
91186-84550,845503612774143,2,16,2
91186-84550,911861390465713,2,17,4
91186-84550,845503612774143,2,17,4
91186-84550,845503612774143,2,18,2
91186-84550,911861390465713,2,18,4
91186-84550,911861390465713,2,19,4
91186-84550,845503612774143,2,19,5
91186-84550,911861390465713,2,20,4
91186-84550,845503612774143,2,20,3
91186-84550,911861390465713,2,21,5
91186-84550,845503612774143,2,21,3
91186-84550,911861390465713,2,22,2
91186-84550,845503612774143,2,22,4
91186-84550,911861390465713,2,23,3
91186-84550,845503612774143,2,23,1
91186-84550,845503612774143,2,24,3
91186-84550,911861390465713,2,24,4
91186-84550,911861390465713,2,25,3
91186-84550,845503612774143,2,25,2
64059-72731,640595354579212,1,1,1
64059-72731,72731606454276,1,1,3
64059-72731,72731606454276,1,2,2
64059-72731,640595354579212,1,2,3
64059-72731,72731606454276,1,3,5
64059-72731,640595354579212,1,3,3
64059-72731,72731606454276,1,4,1
64059-72731,640595354579212,1,4,3
64059-72731,72731606454276,1,5,2
64059-72731,640595354579212,1,5,4
64059-72731,72731606454276,1,6,2
64059-72731,640595354579212,1,6,3
64059-72731,640595354579212,1,7,4
64059-72731,72731606454276,1,7,2
64059-72731,72731606454276,1,8,1
64059-72731,640595354579212,1,8,3
64059-72731,72731606454276,1,9,4
64059-72731,640595354579212,1,9,4
64059-72731,640595354579212,1,10,2
64059-72731,72731606454276,1,10,4
64059-72731,640595354579212,1,11,4
64059-72731,72731606454276,1,11,3
64059-72731,72731606454276,1,12,4
64059-72731,640595354579212,1,12,1
64059-72731,640595354579212,1,13,4
64059-72731,72731606454276,1,13,4
64059-72731,640595354579212,1,14,4
64059-72731,72731606454276,1,14,3
64059-72731,640595354579212,1,15,3
64059-72731,72731606454276,1,15,4
64059-72731,640595354579212,1,16,0
64059-72731,72731606454276,1,16,3
64059-72731,640595354579212,1,17,3
64059-72731,72731606454276,1,17,5
64059-72731,72731606454276,1,18,2
64059-72731,640595354579212,1,18,2
64059-72731,640595354579212,1,19,3
64059-72731,72731606454276,1,19,3
64059-72731,640595354579212,1,20,2
64059-72731,72731606454276,1,20,3
64059-72731,640595354579212,2,1,1
64059-72731,72731606454276,2,1,4
64059-72731,72731606454276,2,2,5
64059-72731,640595354579212,2,2,3
64059-72731,640595354579212,2,3,2
64059-72731,72731606454276,2,3,3
64059-72731,640595354579212,2,4,3
64059-72731,72731606454276,2,4,2
64059-72731,640595354579212,2,5,1
64059-72731,72731606454276,2,5,3
64059-72731,640595354579212,2,6,0
64059-72731,72731606454276,2,6,2
64059-72731,72731606454276,2,7,3
64059-72731,640595354579212,2,7,4
64059-72731,72731606454276,2,8,3
64059-72731,640595354579212,2,8,2
64059-72731,640595354579212,2,9,2
64059-72731,72731606454276,2,9,3
64059-72731,640595354579212,2,10,4
64059-72731,72731606454276,2,10,3
64059-72731,640595354579212,2,11,2
64059-72731,72731606454276,2,11,2
64059-72731,72731606454276,2,12,3
64059-72731,640595354579212,2,12,4
64059-72731,72731606454276,2,13,5
64059-72731,640595354579212,2,13,1
64059-72731,640595354579212,2,14,3
64059-72731,72731606454276,2,14,3
64059-72731,72731606454276,2,15,4
64059-72731,640595354579212,2,15,2
64059-72731,72731606454276,2,16,3
64059-72731,640595354579212,2,16,2
64059-72731,640595354579212,2,17,3
64059-72731,72731606454276,2,17,4
64059-72731,640595354579212,2,18,3
64059-72731,72731606454276,2,18,2
64059-72731,72731606454276,2,19,4
64059-72731,640595354579212,2,19,0
64059-72731,640595354579212,2,20,3
64059-72731,72731606454276,2,20,1
64059-72731,640595354579212,2,21,3
64059-72731,72731606454276,2,21,1
64059-72731,640595354579212,2,22,4
64059-72731,72731606454276,2,22,5
64059-72731,640595354579212,2,23,1
64059-72731,72731606454276,2,23,2
64059-72731,640595354579212,2,24,2
64059-72731,72731606454276,2,24,3
64059-72731,72731606454276,2,25,3
64059-72731,640595354579212,2,25,4
55454-17702,554544630998635,1,1,4
55454-17702,177027837172223,1,1,3
55454-17702,554544630998635,1,2,1
55454-17702,177027837172223,1,2,2
55454-17702,554544630998635,1,3,2
55454-17702,177027837172223,1,3,0
55454-17702,554544630998635,1,4,3
55454-17702,177027837172223,1,4,3
55454-17702,554544630998635,1,5,4
55454-17702,177027837172223,1,5,3
55454-17702,554544630998635,1,6,4
55454-17702,177027837172223,1,6,1
55454-17702,554544630998635,1,7,3
55454-17702,177027837172223,1,7,4
55454-17702,554544630998635,1,8,2
55454-17702,177027837172223,1,8,4
55454-17702,554544630998635,1,9,3
55454-17702,177027837172223,1,9,1
55454-17702,554544630998635,1,10,4
55454-17702,177027837172223,1,10,2
55454-17702,554544630998635,1,11,3
55454-17702,177027837172223,1,11,4
55454-17702,554544630998635,1,12,4
55454-17702,177027837172223,1,12,2
55454-17702,554544630998635,1,13,4
55454-17702,177027837172223,1,13,1
55454-17702,554544630998635,1,14,2
55454-17702,177027837172223,1,14,2
55454-17702,177027837172223,1,15,3
55454-17702,554544630998635,1,15,2
55454-17702,554544630998635,1,16,4
55454-17702,177027837172223,1,16,3
55454-17702,554544630998635,1,17,4
55454-17702,177027837172223,1,17,0
55454-17702,554544630998635,1,18,2
55454-17702,177027837172223,1,18,2
55454-17702,554544630998635,1,19,3
55454-17702,177027837172223,1,19,3
55454-17702,554544630998635,1,20,2
55454-17702,177027837172223,1,20,2
55454-17702,177027837172223,2,1,3
55454-17702,554544630998635,2,1,3
55454-17702,554544630998635,2,2,0
55454-17702,177027837172223,2,2,2
55454-17702,554544630998635,2,3,1
55454-17702,177027837172223,2,3,1
55454-17702,177027837172223,2,4,2
55454-17702,554544630998635,2,4,1
55454-17702,177027837172223,2,5,1
55454-17702,554544630998635,2,5,2
55454-17702,554544630998635,2,6,4
55454-17702,177027837172223,2,6,2
55454-17702,177027837172223,2,7,2
55454-17702,554544630998635,2,7,2
55454-17702,554544630998635,2,8,3
55454-17702,177027837172223,2,8,0
55454-17702,554544630998635,2,9,1
55454-17702,177027837172223,2,9,0
55454-17702,177027837172223,2,10,1
55454-17702,554544630998635,2,10,3
55454-17702,554544630998635,2,11,1
55454-17702,177027837172223,2,11,1
55454-17702,554544630998635,2,12,3
55454-17702,177027837172223,2,12,3
55454-17702,554544630998635,2,13,1
55454-17702,177027837172223,2,13,2
55454-17702,554544630998635,2,14,3
55454-17702,177027837172223,2,14,4
55454-17702,554544630998635,2,15,3
55454-17702,177027837172223,2,15,1
55454-17702,177027837172223,2,16,1
55454-17702,554544630998635,2,16,4
55454-17702,554544630998635,2,17,0
55454-17702,177027837172223,2,17,0
55454-17702,177027837172223,2,18,1
55454-17702,554544630998635,2,18,3
55454-17702,554544630998635,2,19,4
55454-17702,177027837172223,2,19,3
