Dyad,Player,Round,Turn,Object_Send_or_Received,Ask_or_Respond
79317-47777,793179846249445,1,1,DUP,Comunicacion
79317-47777,477779844461679,1,1,Otro-A-B-VP-HI,Respuesta
79317-47777,793179846249445,2,1,XOL,Comunicacion
79317-47777,793179846249445,2,2,ZAB,Comunicacion
79317-47777,477779844461679,2,2,Ignorar,Respuesta
79317-47777,477779844461679,2,3,Ignorar,Respuesta
79317-47777,793179846249445,3,1,DUP,Comunicacion
79317-47777,477779844461679,3,4,Otro-A-G-VP-HI,Respuesta
79317-47777,793179846249445,4,1,ZAB,Comunicacion
79317-47777,477779844461679,4,1,DUP,Comunicacion
79317-47777,477779844461679,4,5,Otro-A-B-VP-HI,Respuesta
79317-47777,477779844461679,4,2,DUP,Comunicacion
79317-47777,793179846249445,4,1,Dup,Respuesta
79317-47777,793179846249445,4,2,Otro-R-G-VP-HI,Respuesta
79317-47777,477779844461679,4,3,DUP,Comunicacion
79317-47777,793179846249445,6,1,ZAB,Comunicacion
79317-47777,793179846249445,6,2,DUP,Comunicacion
79317-47777,793179846249445,7,1,ZAB,Comunicacion
79317-47777,793179846249445,7,2,DUP,Comunicacion
79317-47777,477779844461679,7,1,DUP,Comunicacion
79317-47777,477779844461679,7,8,Otro-A-G-VP-HI,Respuesta
79317-47777,477779844461679,7,9,Xol,Respuesta
79317-47777,477779844461679,7,2,DUP,Comunicacion
79317-47777,793179846249445,7,4,Otro-R-G-VP-HI,Respuesta
79317-47777,793179846249445,7,5,Dup,Respuesta
79317-47777,793179846249445,7,3,DUP,Comunicacion
79317-47777,477779844461679,7,10,Otro-R-G-VP-HI,Respuesta
79317-47777,793179846249445,8,1,DUP,Comunicacion
79317-47777,793179846249445,8,2,XOL,Comunicacion
79317-47777,477779844461679,8,11,Xol,Respuesta
79317-47777,477779844461679,8,1,DUP,Comunicacion
79317-47777,477779844461679,8,12,Xol,Respuesta
79317-47777,477779844461679,8,2,ZAB,Comunicacion
79317-47777,477779844461679,8,3,ZAB,Comunicacion
79317-47777,793179846249445,8,6,Otro-A-B-VP-HI,Respuesta
79317-47777,793179846249445,8,7,Otro-R-G-VP-HI,Respuesta
79317-47777,793179846249445,8,8,Dup,Respuesta
79317-47777,793179846249445,8,3,XOL,Comunicacion
79317-47777,477779844461679,8,13,Xol,Respuesta
79317-47777,477779844461679,8,4,DUP,Comunicacion
79317-47777,793179846249445,8,9,Otro-R-B-VP-HI,Respuesta
79317-47777,793179846249445,9,1,ZAB,Comunicacion
79317-47777,477779844461679,9,1,ZAB,Comunicacion
79317-47777,793179846249445,9,2,ZAB,Comunicacion
79317-47777,477779844461679,9,14,Xol,Respuesta
79317-47777,477779844461679,9,15,Otro-R-G-VP-HI,Respuesta
79317-47777,477779844461679,9,2,DUP,Comunicacion
79317-47777,477779844461679,9,3,DUP,Comunicacion
79317-47777,793179846249445,9,10,Dup,Respuesta
79317-47777,793179846249445,9,11,Dup,Respuesta
79317-47777,793179846249445,9,12,Dup,Respuesta
79317-47777,793179846249445,9,3,DUP,Comunicacion
79317-47777,793179846249445,9,4,ZAB,Comunicacion
79317-47777,477779844461679,9,16,Xol,Respuesta
79317-47777,477779844461679,9,17,Xol,Respuesta
79317-47777,793179846249445,10,1,XOL,Comunicacion
79317-47777,477779844461679,10,1,ZAB,Comunicacion
79317-47777,793179846249445,10,2,ZAB,Comunicacion
79317-47777,793179846249445,10,3,ZAB,Comunicacion
79317-47777,477779844461679,10,2,ZAB,Comunicacion
79317-47777,477779844461679,10,18,Xol,Respuesta
79317-47777,477779844461679,10,19,Xol,Respuesta
79317-47777,793179846249445,10,13,Otro-A-B-VP-HI,Respuesta
79317-47777,477779844461679,10,20,Otro-R-B-VP-HI,Respuesta
79317-47777,793179846249445,10,14,Otro-R-B-VP-HI,Respuesta
79317-47777,793179846249445,10,4,DUP,Comunicacion
79317-47777,793179846249445,10,5,XOL,Comunicacion
79317-47777,477779844461679,10,21,Xol,Respuesta
79317-47777,477779844461679,10,22,Otro-A-G-VP-HI,Respuesta
79317-47777,477779844461679,10,3,ZAB,Comunicacion
79317-47777,793179846249445,10,6,XOL,Comunicacion
79317-47777,793179846249445,10,7,XOL,Comunicacion
79317-47777,477779844461679,10,23,Xol,Respuesta
79317-47777,477779844461679,10,24,Xol,Respuesta
79317-47777,477779844461679,10,4,DUP,Comunicacion
79317-47777,477779844461679,10,5,DUP,Comunicacion
79317-47777,477779844461679,10,6,XOL,Comunicacion
79317-47777,793179846249445,10,15,Dup,Respuesta
79317-47777,793179846249445,10,16,Otro-R-G-VP-HI,Respuesta
79317-47777,793179846249445,10,17,Dup,Respuesta
79317-47777,793179846249445,10,18,Dup,Respuesta
79317-47777,793179846249445,10,8,DUP,Comunicacion
79317-47777,793179846249445,11,1,DUP,Comunicacion
79317-47777,793179846249445,11,2,DUP,Comunicacion
79317-47777,793179846249445,11,3,DUP,Comunicacion
79317-47777,477779844461679,11,26,Otro-A-B-VP-HI,Respuesta
79317-47777,477779844461679,11,27,Otro-R-B-VP-HI,Respuesta
79317-47777,793179846249445,11,4,DUP,Comunicacion
79317-47777,477779844461679,11,28,Otro-A-G-VP-HI,Respuesta
79317-47777,793179846249445,11,5,DUP,Comunicacion
79317-47777,477779844461679,11,1,ZAB,Comunicacion
79317-47777,477779844461679,11,2,ZAB,Comunicacion
79317-47777,477779844461679,11,3,ZAB,Comunicacion
79317-47777,793179846249445,11,19,Otro-A-G-VP-HI,Respuesta
79317-47777,477779844461679,11,4,ZAB,Comunicacion
79317-47777,793179846249445,11,20,Dup,Respuesta
79317-47777,477779844461679,11,5,ZAB,Comunicacion
79317-47777,793179846249445,11,21,Dup,Respuesta
79317-47777,477779844461679,11,29,Otro-R-G-VP-HI,Respuesta
79317-47777,793179846249445,11,22,Dup,Respuesta
79317-47777,477779844461679,11,30,Xol,Respuesta
79317-47777,793179846249445,11,23,Otro-R-B-VP-HI,Respuesta
79317-47777,793179846249445,11,6,DUP,Comunicacion
79317-47777,793179846249445,11,7,DUP,Comunicacion
79317-47777,793179846249445,11,8,DUP,Comunicacion
79317-47777,793179846249445,12,1,ZAB,Comunicacion
79317-47777,793179846249445,12,2,XOL,Comunicacion
79317-47777,793179846249445,12,3,XOL,Comunicacion
79317-47777,477779844461679,12,34,Otro-R-G-VP-HI,Respuesta
79317-47777,477779844461679,12,35,Otro-R-B-VP-HI,Respuesta
79317-47777,793179846249445,12,4,DUP,Comunicacion
79317-47777,477779844461679,12,36,Otro-A-G-VP-HI,Respuesta
79317-47777,477779844461679,12,1,DUP,Comunicacion
79317-47777,477779844461679,12,2,DUP,Comunicacion
79317-47777,477779844461679,12,3,DUP,Comunicacion
79317-47777,477779844461679,12,4,DUP,Comunicacion
79317-47777,793179846249445,12,24,Otro-R-G-VP-HI,Respuesta
79317-47777,793179846249445,12,25,Otro-A-G-VP-HI,Respuesta
79317-47777,477779844461679,12,37,Otro-A-B-VP-HI,Respuesta
79317-47777,793179846249445,12,26,Dup,Respuesta
79317-47777,793179846249445,12,27,Otro-A-B-VP-HI,Respuesta
79317-47777,793179846249445,12,5,XOL,Comunicacion
79317-47777,477779844461679,12,5,DUP,Comunicacion
79317-47777,477779844461679,12,38,Xol,Respuesta
79317-47777,793179846249445,12,28,Otro-R-B-VP-HI,Respuesta
79317-47777,477779844461679,12,6,ZAB,Comunicacion
79317-47777,477779844461679,13,1,DUP,Comunicacion
79317-47777,477779844461679,13,2,ZAB,Comunicacion
79317-47777,793179846249445,13,30,Otro-R-B-VP-HI,Respuesta
79317-47777,793179846249445,13,31,Dup,Respuesta
79317-47777,793179846249445,13,1,XOL,Comunicacion
79317-47777,477779844461679,13,3,DUP,Comunicacion
79317-47777,793179846249445,13,32,Otro-A-B-VP-HI,Respuesta
79317-47777,477779844461679,13,39,Xol,Respuesta
79317-47777,793179846249445,13,2,ZAB,Comunicacion
79317-47777,477779844461679,13,40,Otro-A-B-VP-HI,Respuesta
79317-47777,793179846249445,13,3,ZAB,Comunicacion
79317-47777,477779844461679,13,41,Xol,Respuesta
79317-47777,477779844461679,13,4,ZAB,Comunicacion
79317-47777,477779844461679,13,5,XOL,Comunicacion
79317-47777,793179846249445,13,33,Otro-R-G-VP-HI,Respuesta
79317-47777,793179846249445,13,34,Dup,Respuesta
79317-47777,793179846249445,14,1,DUP,Comunicacion
79317-47777,477779844461679,14,1,DUP,Comunicacion
79317-47777,793179846249445,14,2,XOL,Comunicacion
79317-47777,793179846249445,14,35,Otro-R-B-VP-HI,Respuesta
79317-47777,477779844461679,14,42,Ignorar,Respuesta
79317-47777,477779844461679,14,43,Ignorar,Respuesta
79317-47777,793179846249445,14,3,XOL,Comunicacion
79317-47777,793179846249445,14,4,XOL,Comunicacion
79317-47777,793179846249445,14,5,ZAB,Comunicacion
79317-47777,793179846249445,14,6,DUP,Comunicacion
79317-47777,477779844461679,14,44,Xol,Respuesta
79317-47777,477779844461679,14,45,Xol,Respuesta
79317-47777,477779844461679,14,46,Xol,Respuesta
79317-47777,477779844461679,14,47,Xol,Respuesta
79317-47777,477779844461679,14,2,DUP,Comunicacion
79317-47777,477779844461679,14,3,ZAB,Comunicacion
79317-47777,477779844461679,14,4,XOL,Comunicacion
79317-47777,793179846249445,14,36,Dup,Respuesta
79317-47777,793179846249445,14,37,Dup,Respuesta
79317-47777,793179846249445,14,38,Dup,Respuesta
79317-47777,793179846249445,14,7,ZAB,Comunicacion
79317-47777,793179846249445,14,8,DUP,Comunicacion
79317-47777,793179846249445,14,9,DUP,Comunicacion
79317-47777,793179846249445,14,10,DUP,Comunicacion
79317-47777,793179846249445,15,1,ZAB,Comunicacion
79317-47777,477779844461679,15,1,DUP,Comunicacion
79317-47777,793179846249445,15,2,DUP,Comunicacion
79317-47777,477779844461679,15,52,Ignorar,Respuesta
79317-47777,793179846249445,15,3,ZAB,Comunicacion
79317-47777,793179846249445,15,39,Dup,Respuesta
79317-47777,793179846249445,15,4,DUP,Comunicacion
79317-47777,793179846249445,15,5,DUP,Comunicacion
79317-47777,477779844461679,15,2,DUP,Comunicacion
79317-47777,793179846249445,15,6,ZAB,Comunicacion
79317-47777,477779844461679,15,53,Xol,Respuesta
79317-47777,477779844461679,15,54,Ignorar,Respuesta
79317-47777,793179846249445,15,40,Otro-R-G-VP-HI,Respuesta
79317-47777,793179846249445,15,7,DUP,Comunicacion
79317-47777,477779844461679,15,55,Xol,Respuesta
79317-47777,477779844461679,15,3,DUP,Comunicacion
79317-47777,477779844461679,15,4,DUP,Comunicacion
79317-47777,793179846249445,15,41,Otro-A-B-VP-HI,Respuesta
79317-47777,793179846249445,15,42,Dup,Respuesta
79317-47777,477779844461679,15,56,Xol,Respuesta
79317-47777,793179846249445,15,8,DUP,Comunicacion
79317-47777,477779844461679,15,57,Xol,Respuesta
79317-47777,477779844461679,15,5,DUP,Comunicacion
79317-47777,793179846249445,15,43,Dup,Respuesta
79317-47777,793179846249445,15,9,XOL,Comunicacion
79317-47777,477779844461679,15,58,Otro-A-B-VP-HI,Respuesta
79317-47777,477779844461679,15,59,Xol,Respuesta
77849-13016,130164602795595,1,1,ZAB,Comunicacion
77849-13016,130164602795595,1,2,XOL,Comunicacion
77849-13016,778491975418362,1,1,Xol,Respuesta
77849-13016,778491975418362,1,2,Otro-R-G-VP-HI,Respuesta
77849-13016,130164602795595,2,1,ZAB,Comunicacion
77849-13016,130164602795595,2,2,XOL,Comunicacion
77849-13016,778491975418362,2,3,Otro-R-G-VP-HI,Respuesta
77849-13016,778491975418362,2,4,Otro-A-B-VP-HI,Respuesta
77849-13016,130164602795595,2,3,ZAB,Comunicacion
77849-13016,778491975418362,2,5,Ignorar,Respuesta
77849-13016,130164602795595,3,1,XOL,Comunicacion
77849-13016,778491975418362,3,6,Otro-A-G-VP-HI,Respuesta
77849-13016,778491975418362,3,1,DUP,Comunicacion
77849-13016,778491975418362,3,2,XOL,Comunicacion
77849-13016,778491975418362,3,3,ZAB,Comunicacion
77849-13016,130164602795595,3,1,Dup,Respuesta
77849-13016,130164602795595,3,2,Ignorar,Respuesta
77849-13016,130164602795595,3,3,Ignorar,Respuesta
77849-13016,778491975418362,3,4,XOL,Comunicacion
77849-13016,778491975418362,3,5,DUP,Comunicacion
77849-13016,130164602795595,3,4,Ignorar,Respuesta
77849-13016,778491975418362,3,6,XOL,Comunicacion
77849-13016,130164602795595,3,5,Otro-A-G-VP-HI,Respuesta
77849-13016,778491975418362,3,7,DUP,Comunicacion
77849-13016,130164602795595,3,6,Ignorar,Respuesta
77849-13016,778491975418362,3,8,ZAB,Comunicacion
77849-13016,778491975418362,3,9,DUP,Comunicacion
77849-13016,778491975418362,3,10,XOL,Comunicacion
77849-13016,778491975418362,3,11,DUP,Comunicacion
77849-13016,778491975418362,3,12,ZAB,Comunicacion
77849-13016,778491975418362,3,13,XOL,Comunicacion
77849-13016,778491975418362,3,14,DUP,Comunicacion
77849-13016,778491975418362,3,15,ZAB,Comunicacion
77849-13016,778491975418362,3,16,XOL,Comunicacion
77849-13016,130164602795595,4,1,ZAB,Comunicacion
77849-13016,778491975418362,4,7,Xol,Respuesta
77849-13016,778491975418362,4,1,ZAB,Comunicacion
77849-13016,778491975418362,4,2,DUP,Comunicacion
77849-13016,778491975418362,4,3,XOL,Comunicacion
77849-13016,130164602795595,4,17,Ignorar,Respuesta
77849-13016,130164602795595,4,18,Dup,Respuesta
77849-13016,130164602795595,4,19,Otro-A-B-VP-HI,Respuesta
77849-13016,130164602795595,4,2,XOL,Comunicacion
77849-13016,778491975418362,4,8,Xol,Respuesta
77849-13016,778491975418362,4,4,ZAB,Comunicacion
77849-13016,778491975418362,4,5,DUP,Comunicacion
77849-13016,778491975418362,4,6,XOL,Comunicacion
77849-13016,130164602795595,5,1,XOL,Comunicacion
77849-13016,778491975418362,5,9,Xol,Respuesta
77849-13016,130164602795595,5,2,ZAB,Comunicacion
77849-13016,778491975418362,5,10,Xol,Respuesta
77849-13016,778491975418362,5,1,ZAB,Comunicacion
77849-13016,778491975418362,5,2,DUP,Comunicacion
77849-13016,778491975418362,5,3,XOL,Comunicacion
77849-13016,778491975418362,5,4,ZAB,Comunicacion
77849-13016,778491975418362,5,5,DUP,Comunicacion
77849-13016,778491975418362,5,6,XOL,Comunicacion
77849-13016,130164602795595,5,23,Ignorar,Respuesta
77849-13016,130164602795595,5,24,Dup,Respuesta
