Dyad,Label,Player,typeOfObject
79317-47777,zal,793179846249445,dup
79317-47777,xol,793179846249445,xol
79317-47777,dup,793179846249445,Otro-A-B-VP-HP
79317-47777,zal,793179846249445,xol
79317-47777,xol,793179846249445,Otro-A-B-VP-HP
79317-47777,dup,793179846249445,Otro-R-B-VP-HP
79317-47777,zal,793179846249445,Otro-A-B-VP-HP
79317-47777,dup,477779844461679,dup
79317-47777,xol,793179846249445,Otro-A-G-VI-HI
79317-47777,dup,793179846249445,dup
79317-47777,zal,793179846249445,xol
79317-47777,xol,793179846249445,xol
79317-47777,dup,793179846249445,dup
79317-47777,zal,793179846249445,dup
79317-47777,xol,793179846249445,dup
79317-47777,zal,477779844461679,dup
79317-47777,dup,793179846249445,Otro-A-B-VP-HP
79317-47777,dup,477779844461679,Otro-A-G-VI-HI
79317-47777,zal,477779844461679,dup
79317-47777,zal,477779844461679,dup
79317-47777,dup,477779844461679,Otro-A-G-VI-HI
79317-47777,zal,477779844461679,dup
79317-47777,xol,477779844461679,xol
79317-47777,xol,477779844461679,xol
79317-47777,xol,477779844461679,xol
79317-47777,zal,477779844461679,Otro-A-B-VP-HP
79317-47777,dup,477779844461679,dup
79317-47777,zal,477779844461679,dup
79317-47777,xol,477779844461679,xol
79317-47777,xol,477779844461679,Otro-R-B-VP-HP
77849-13016,zal,778491975418362,Otro-A-B-VP-HP
77849-13016,dup,778491975418362,Otro-R-B-VP-HP
77849-13016,xol,130164602795595,Otro-A-G-VI-HI
77849-13016,zal,778491975418362,dup
77849-13016,zal,130164602795595,xol
77849-13016,xol,130164602795595,xol
77849-13016,dup,778491975418362,dup
77849-13016,zal,130164602795595,Otro-A-B-VP-HP
77849-13016,xol,130164602795595,Otro-A-B-VP-HP
77849-13016,zal,130164602795595,Otro-R-B-VP-HP
77849-13016,xol,130164602795595,Otro-R-B-VP-HP
77849-13016,zal,778491975418362,dup
77849-13016,zal,130164602795595,Otro-R-B-VP-HP
77849-13016,xol,130164602795595,Otro-R-B-VP-HP
77849-13016,dup,778491975418362,xol
77849-13016,dup,130164602795595,dup
77849-13016,zal,130164602795595,Otro-R-B-VP-HP
77849-13016,dup,778491975418362,dup
77849-13016,xol,778491975418362,xol
77849-13016,xol,130164602795595,Otro-A-G-VI-HI
77849-13016,xol,778491975418362,xol
77849-13016,zal,130164602795595,xol
77849-13016,zal,778491975418362,dup
77849-13016,dup,130164602795595,xol
77849-13016,dup,130164602795595,dup
77849-13016,xol,778491975418362,xol
77849-13016,zal,130164602795595,xol
77849-13016,dup,778491975418362,Otro-A-B-VP-HP
77849-13016,dup,130164602795595,dup
77849-13016,dup,130164602795595,dup
77849-13016,xol,778491975418362,xol
77849-13016,zal,130164602795595,xol
77849-13016,xol,778491975418362,xol
93498-57924,xol,579246711735224,xol
93498-57924,zal,579246711735224,dup
93498-57924,dup,579246711735224,Otro-A-B-VP-HP
93498-57924,zal,934989713159287,dup
93498-57924,xol,579246711735224,xol
93498-57924,xol,934989713159287,xol
93498-57924,zal,579246711735224,dup
93498-57924,dup,579246711735224,Otro-R-B-VP-HP
93498-57924,zal,934989713159287,dup
93498-57924,zal,579246711735224,dup
93498-57924,zal,579246711735224,Otro-R-B-VP-HP
93498-57924,dup,934989713159287,xol
93498-57924,zal,934989713159287,Otro-R-B-VP-HP
93498-57924,dup,579246711735224,dup
93498-57924,xol,934989713159287,xol
93498-57924,zal,934989713159287,xol
93498-57924,zal,934989713159287,xol
93498-57924,xol,579246711735224,xol
93498-57924,xol,934989713159287,dup
93498-57924,zal,934989713159287,xol
93498-57924,zal,579246711735224,dup
93498-57924,zal,934989713159287,xol
93498-57924,xol,934989713159287,Otro-R-B-VP-HP
93498-57924,zal,934989713159287,Otro-A-B-VP-HP
93498-57924,xol,579246711735224,xol
93498-57924,dup,579246711735224,xol
93498-57924,zal,579246711735224,Otro-A-G-VI-HI
93498-57924,dup,934989713159287,Otro-A-G-VI-HI
93498-57924,zal,934989713159287,dup
93498-57924,xol,579246711735224,xol
24333-14307,dup,143073090680852,dup
24333-14307,dup,243335730149512,dup
24333-14307,xol,143073090680852,xol
24333-14307,xol,143073090680852,xol
24333-14307,zal,243335730149512,Otro-A-G-VI-HI
24333-14307,dup,143073090680852,dup
24333-14307,zal,143073090680852,Otro-A-G-VI-HI
24333-14307,xol,143073090680852,xol
24333-14307,xol,243335730149512,xol
24333-14307,xol,143073090680852,xol
24333-14307,zal,243335730149512,xol
24333-14307,zal,143073090680852,Otro-R-B-VP-HP
24333-14307,xol,143073090680852,xol
24333-14307,xol,143073090680852,xol
24333-14307,dup,143073090680852,Otro-A-B-VP-HP
24333-14307,xol,243335730149512,xol
24333-14307,xol,143073090680852,xol
24333-14307,dup,243335730149512,dup
24333-14307,zal,143073090680852,dup
24333-14307,zal,243335730149512,Otro-A-G-VI-HI
24333-14307,dup,243335730149512,dup
24333-14307,zal,143073090680852,xol
24333-14307,xol,243335730149512,Otro-R-B-VP-HP
24333-14307,zal,143073090680852,dup
24333-14307,zal,243335730149512,Otro-R-B-VP-HP
24333-14307,xol,243335730149512,xol
24333-14307,dup,243335730149512,dup
24333-14307,xol,243335730149512,xol
24333-14307,dup,243335730149512,dup
24333-14307,zal,243335730149512,xol
58645-94940,dup,949408972082315,dup
58645-94940,dup,949408972082315,dup
58645-94940,xol,58645334229734,xol
58645-94940,xol,949408972082315,xol
58645-94940,dup,949408972082315,dup
58645-94940,xol,58645334229734,Otro-A-G-VI-HI
58645-94940,zal,949408972082315,Otro-R-B-VP-HP
58645-94940,xol,58645334229734,xol
58645-94940,zal,949408972082315,Otro-A-B-VP-HP
58645-94940,xol,949408972082315,Otro-A-G-VI-HI
58645-94940,zal,58645334229734,Otro-R-B-VP-HP
58645-94940,dup,949408972082315,dup
58645-94940,zal,949408972082315,Otro-R-B-VP-HP
58645-94940,dup,949408972082315,dup
58645-94940,dup,58645334229734,dup
58645-94940,xol,949408972082315,xol
58645-94940,xol,58645334229734,xol
58645-94940,xol,949408972082315,xol
58645-94940,dup,949408972082315,dup
58645-94940,zal,58645334229734,dup
58645-94940,dup,949408972082315,dup
58645-94940,dup,949408972082315,dup
58645-94940,xol,58645334229734,xol
58645-94940,xol,58645334229734,xol
58645-94940,dup,58645334229734,dup
58645-94940,zal,58645334229734,dup
58645-94940,xol,58645334229734,xol
58645-94940,xol,58645334229734,xol
58645-94940,xol,58645334229734,xol
58645-94940,zal,58645334229734,Otro-A-B-VP-HP
67650-83225,zal,676509723803711,Otro-A-G-VI-HI
67650-83225,dup,676509723803711,xol
67650-83225,dup,676509723803711,Otro-A-B-VP-HP
67650-83225,zal,676509723803711,Otro-R-B-VP-HP
67650-83225,xol,676509723803711,Otro-R-B-VP-HP
67650-83225,dup,676509723803711,dup
67650-83225,zal,832258063687708,xol
67650-83225,zal,676509723803711,xol
67650-83225,dup,676509723803711,dup
67650-83225,xol,676509723803711,xol
67650-83225,zal,676509723803711,Otro-A-G-VI-HI
67650-83225,dup,676509723803711,xol
67650-83225,xol,676509723803711,dup
67650-83225,zal,676509723803711,Otro-A-B-VP-HP
67650-83225,dup,676509723803711,xol
67650-83225,xol,832258063687708,xol
67650-83225,dup,832258063687708,dup
67650-83225,zal,832258063687708,Otro-A-B-VP-HP
67650-83225,zal,832258063687708,Otro-R-B-VP-HP
67650-83225,zal,832258063687708,xol
67650-83225,dup,832258063687708,dup
67650-83225,xol,832258063687708,Otro-A-G-VI-HI
67650-83225,xol,832258063687708,Otro-A-G-VI-HI
67650-83225,xol,832258063687708,xol
67650-83225,dup,832258063687708,dup
67650-83225,xol,832258063687708,xol
67650-83225,zal,832258063687708,Otro-R-B-VP-HP
67650-83225,zal,832258063687708,Otro-R-B-VP-HP
67650-83225,zal,832258063687708,xol
97905-95537,dup,955374253452026,dup
97905-95537,xol,955374253452026,xol
97905-95537,dup,955374253452026,dup
97905-95537,dup,955374253452026,Otro-A-B-VP-HP
97905-95537,xol,979055358104963,xol
97905-95537,xol,955374253452026,xol
97905-95537,xol,955374253452026,xol
97905-95537,zal,979055358104963,xol
97905-95537,dup,955374253452026,dup
97905-95537,xol,955374253452026,xol
97905-95537,zal,955374253452026,dup
97905-95537,xol,979055358104963,xol
97905-95537,xol,955374253452026,xol
97905-95537,zal,955374253452026,Otro-R-B-VP-HP
97905-95537,zal,955374253452026,dup
97905-95537,xol,955374253452026,xol
97905-95537,xol,979055358104963,Otro-R-B-VP-HP
97905-95537,zal,955374253452026,Otro-R-B-VP-HP
97905-95537,dup,955374253452026,dup
97905-95537,dup,979055358104963,dup
97905-95537,dup,979055358104963,xol
97905-95537,zal,979055358104963,xol
97905-95537,xol,979055358104963,xol
97905-95537,dup,979055358104963,dup
97905-95537,xol,979055358104963,dup
97905-95537,dup,979055358104963,dup
97905-95537,xol,979055358104963,xol
97905-95537,dup,979055358104963,xol
97905-95537,dup,979055358104963,xol
97905-95537,zal,979055358104963,xol
92032-38384,zal,920326173199755,Otro-R-B-VP-HP
92032-38384,zal,920326173199755,dup
92032-38384,dup,383846014384365,Otro-A-B-VP-HP
92032-38384,zal,920326173199755,Otro-R-B-VP-HP
92032-38384,dup,383846014384365,dup
92032-38384,xol,920326173199755,xol
92032-38384,zal,920326173199755,Otro-R-B-VP-HP
92032-38384,dup,383846014384365,dup
92032-38384,zal,920326173199755,dup
92032-38384,dup,920326173199755,Otro-A-B-VP-HP
92032-38384,zal,383846014384365,Otro-A-G-VI-HI
92032-38384,zal,920326173199755,Otro-R-B-VP-HP
92032-38384,xol,920326173199755,xol
92032-38384,dup,383846014384365,dup
92032-38384,dup,383846014384365,Otro-R-B-VP-HP
92032-38384,zal,920326173199755,dup
92032-38384,zal,920326173199755,Otro-R-B-VP-HP
92032-38384,dup,383846014384365,xol
92032-38384,xol,920326173199755,xol
92032-38384,zal,920326173199755,dup
92032-38384,xol,383846014384365,Otro-R-B-VP-HP
92032-38384,dup,920326173199755,dup
92032-38384,dup,920326173199755,dup
92032-38384,dup,383846014384365,dup
92032-38384,zal,383846014384365,Otro-A-G-VI-HI
92032-38384,xol,383846014384365,Otro-R-B-VP-HP
92032-38384,zal,383846014384365,Otro-A-G-VI-HI
92032-38384,dup,383846014384365,Otro-A-G-VI-HI
92032-38384,dup,383846014384365,dup
92032-38384,dup,383846014384365,Otro-R-B-VP-HP
