Dyad,Player,Stage,Round,Score
42477-42477,424778554903160,2,1,3
42477-42477,424778554903160,2,2,5
42477-42477,424778554903160,2,3,5
42477-42477,424778554903160,2,4,5
42477-42477,424778554903160,2,5,5
42477-42477,424778554903160,2,6,5
42477-42477,424778554903160,2,7,5
42477-42477,424778554903160,2,8,4
42477-42477,424778554903160,2,9,5
42477-42477,424778554903160,2,10,5
42477-42477,424778554903160,2,11,5
42477-42477,424778554903160,2,12,4
42477-42477,424778554903160,2,13,4
42477-42477,424778554903160,2,14,4
42477-42477,424778554903160,2,15,5
42477-42477,424778554903160,2,16,5
42477-42477,424778554903160,2,17,5
42477-42477,424778554903160,2,18,5
42477-42477,424778554903160,2,19,5
42477-42477,424778554903160,2,20,4
42477-42477,424778554903160,2,21,5
42477-42477,424778554903160,2,22,5
42477-42477,424778554903160,2,23,5
42477-42477,424778554903160,2,24,5
42477-42477,424778554903160,2,25,5
24007-24007,2400721506940,2,1,4
24007-24007,2400721506940,2,2,3
24007-24007,2400721506940,2,3,3
24007-24007,2400721506940,2,4,2
24007-24007,2400721506940,2,5,3
24007-24007,2400721506940,2,6,3
24007-24007,2400721506940,2,7,4
24007-24007,2400721506940,2,8,4
24007-24007,2400721506940,2,9,4
24007-24007,2400721506940,2,10,4
24007-24007,2400721506940,2,11,3
24007-24007,2400721506940,2,12,4
24007-24007,2400721506940,2,13,4
24007-24007,2400721506940,2,14,3
24007-24007,2400721506940,2,15,4
24007-24007,2400721506940,2,16,3
24007-24007,2400721506940,2,17,3
24007-24007,2400721506940,2,18,4
24007-24007,2400721506940,2,19,4
24007-24007,2400721506940,2,20,4
24007-24007,2400721506940,2,21,4
24007-24007,2400721506940,2,22,4
24007-24007,2400721506940,2,23,4
24007-24007,2400721506940,2,24,4
24007-24007,2400721506940,2,25,4
69618-69618,696181331994110,2,1,3
69618-69618,696181331994110,2,2,3
69618-69618,696181331994110,2,3,2
69618-69618,696181331994110,2,4,4
69618-69618,696181331994110,2,5,3
69618-69618,696181331994110,2,6,0
69618-69618,696181331994110,2,7,2
69618-69618,696181331994110,2,8,5
69618-69618,696181331994110,2,9,2
69618-69618,696181331994110,2,10,4
69618-69618,696181331994110,2,11,4
69618-69618,696181331994110,2,12,4
69618-69618,696181331994110,2,13,4
69618-69618,696181331994110,2,14,3
69618-69618,696181331994110,2,15,3
69618-69618,696181331994110,2,16,4
69618-69618,696181331994110,2,17,3
69618-69618,696181331994110,2,18,5
69618-69618,696181331994110,2,19,4
69618-69618,696181331994110,2,20,2
69618-69618,696181331994110,2,21,2
69618-69618,696181331994110,2,22,3
69618-69618,696181331994110,2,23,2
69618-69618,696181331994110,2,24,5
69618-69618,696181331994110,2,25,5
63449-63449,634494200757258,2,1,4
63449-63449,634494200757258,2,2,5
63449-63449,634494200757258,2,3,3
63449-63449,634494200757258,2,4,4
63449-63449,634494200757258,2,5,4
63449-63449,634494200757258,2,6,4
63449-63449,634494200757258,2,7,5
63449-63449,634494200757258,2,8,4
63449-63449,634494200757258,2,9,5
63449-63449,634494200757258,2,10,5
63449-63449,634494200757258,2,11,5
63449-63449,634494200757258,2,12,5
63449-63449,634494200757258,2,13,5
63449-63449,634494200757258,2,14,5
63449-63449,634494200757258,2,15,5
63449-63449,634494200757258,2,16,5
63449-63449,634494200757258,2,17,5
63449-63449,634494200757258,2,18,5
63449-63449,634494200757258,2,19,5
63449-63449,634494200757258,2,20,5
63449-63449,634494200757258,2,21,5
63449-63449,634494200757258,2,22,5
63449-63449,634494200757258,2,23,5
63449-63449,634494200757258,2,24,5
63449-63449,634494200757258,2,25,5
