Dyad,Player,Round,objectAsked,objectReceived
15850-11039,11039204540670,1,XOL,-
15850-11039,11039204540670,3,XOL,-
15850-11039,11039204540670,3,XOL,-
15850-11039,11039204540670,4,DUP,-
15850-11039,11039204540670,14,XOL,-
82478-88157,824787143597876,1,DUP,Ignorar
82478-88157,824787143597876,1,DUP,Ignorar
82478-88157,824787143597876,1,XOL,Ignorar
82478-88157,824787143597876,1,ZAB,Ignorar
82478-88157,824787143597876,1,ZAB,Ignorar
82478-88157,824787143597876,1,XOL,Ignorar
82478-88157,824787143597876,1,ZAB,Ignorar
82478-88157,824787143597876,2,XOL,Otro-A-B-Vpar-Hpar
82478-88157,824787143597876,2,ZAB,Otro-A-B-Vpar-Hpar
82478-88157,824787143597876,3,XOL,Ignorar
82478-88157,824787143597876,3,XOL,Ignorar
82478-88157,824787143597876,3,ZAB,Ignorar
82478-88157,824787143597876,3,XOL,Ignorar
82478-88157,824787143597876,3,DUP,Ignorar
82478-88157,824787143597876,3,DUP,Ignorar
82478-88157,824787143597876,3,ZAB,Ignorar
82478-88157,881573210164524,3,DUP,-
82478-88157,881573210164524,3,DUP,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,824787143597876,4,ZAB,-
82478-88157,881573210164524,5,ZAB,Otro-A-G-Vimp-Hpar
82478-88157,881573210164524,5,XOL,Otro-A-G-Vimp-Hpar
82478-88157,881573210164524,5,ZAB,Otro-A-G-Vimp-Hpar
82478-88157,881573210164524,5,XOL,Otro-A-G-Vimp-Hpar
82478-88157,881573210164524,5,DUP,Otro-A-G-Vimp-Hpar
82478-88157,824787143597876,6,XOL,Otro-R-G-Vimp-Hpar
82478-88157,824787143597876,6,ZAB,Otro-R-G-Vimp-Hpar
82478-88157,824787143597876,6,DUP,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,7,ZAB,-
82478-88157,824787143597876,7,ZAB,-
82478-88157,824787143597876,8,DUP,Ignorar
82478-88157,824787143597876,8,XOL,Ignorar
82478-88157,824787143597876,8,ZAB,Ignorar
82478-88157,881573210164524,8,XOL,-
82478-88157,881573210164524,8,DUP,-
82478-88157,881573210164524,8,ZAB,-
82478-88157,881573210164524,8,XOL,-
82478-88157,881573210164524,8,ZAB,-
82478-88157,881573210164524,8,DUP,-
82478-88157,881573210164524,8,XOL,-
82478-88157,824787143597876,8,ZAB,-
82478-88157,824787143597876,8,DUP,-
82478-88157,824787143597876,8,ZAB,-
82478-88157,824787143597876,8,XOL,-
82478-88157,881573210164524,9,ZAB,Otro-A-G-Vimp-Hpar
82478-88157,881573210164524,9,DUP,Otro-A-G-Vimp-Hpar
82478-88157,824787143597876,9,ZAB,-
82478-88157,824787143597876,9,DUP,-
82478-88157,824787143597876,9,ZAB,-
82478-88157,824787143597876,10,DUP,Otro-R-G-Vimp-Hpar
82478-88157,824787143597876,10,ZAB,Otro-R-G-Vimp-Hpar
82478-88157,824787143597876,10,DUP,Otro-R-G-Vimp-Hpar
82478-88157,824787143597876,10,ZAB,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,10,DUP,-
82478-88157,881573210164524,10,ZAB,-
82478-88157,881573210164524,10,DUP,-
82478-88157,824787143597876,11,ZAB,Otro-R-G-Vimp-Hpar
82478-88157,881573210164524,11,XOL,-
82478-88157,881573210164524,11,DUP,-
82478-88157,881573210164524,12,DUP,Xol
