index,Dyad,Give,Player,Round,Say,Turn
1,5483-3242,Ignorar,324213043786585,1,,1
0,5483-3242,,548382253851741,1,xol,1
4,5483-3242,Triangulo,548382253851741,1,,1
2,5483-3242,,324213043786585,1,zab,2
3,5483-3242,,324213043786585,1,zab,2
6,5483-3242,Circulo,324213043786585,1,,2
5,5483-3242,,548382253851741,1,dup,2
7,5483-3242,,548382253851741,1,zab,2
9,5483-3242,,548382253851741,1,dup,2
12,5483-3242,Triangulo,548382253851741,1,,2
8,5483-3242,Cuadrado,324213043786585,1,,3
13,5483-3242,,548382253851741,1,zab,3
15,5483-3242,,548382253851741,1,zab,3
17,5483-3242,,548382253851741,1,dup,3
20,5483-3242,Circulo,548382253851741,1,,3
10,5483-3242,Cuadrado,324213043786585,1,,4
21,5483-3242,,548382253851741,1,zab,4
23,5483-3242,,548382253851741,1,xol,4
25,5483-3242,,548382253851741,1,zab,4
29,5483-3242,Ignorar,548382253851741,1,,4
11,5483-3242,,324213043786585,1,zab,5
14,5483-3242,Ignorar,324213043786585,1,,5
30,5483-3242,,548382253851741,1,dup,5
35,5483-3242,Circulo,548382253851741,1,,5
16,5483-3242,Ignorar,324213043786585,1,,6
37,5483-3242,,548382253851741,1,dup,6
39,5483-3242,Ignorar,548382253851741,1,,6
18,5483-3242,Ignorar,324213043786585,1,,7
41,5483-3242,,548382253851741,1,dup,7
44,5483-3242,Ignorar,548382253851741,1,,7
19,5483-3242,,324213043786585,1,xol,8
22,5483-3242,Ignorar,324213043786585,1,,8
46,5483-3242,Ignorar,548382253851741,1,,8
24,5483-3242,,324213043786585,1,xol,9
26,5483-3242,,324213043786585,1,dup,9
27,5483-3242,Ignorar,324213043786585,1,,9
48,5483-3242,,548382253851741,1,dup,9
49,5483-3242,Ignorar,548382253851741,1,,9
28,5483-3242,,324213043786585,1,xol,10
31,5483-3242,Ignorar,324213043786585,1,,10
32,5483-3242,,324213043786585,1,xol,11
33,5483-3242,,324213043786585,1,zab,11
34,5483-3242,,324213043786585,1,dup,11
36,5483-3242,,324213043786585,1,zab,11
38,5483-3242,,324213043786585,1,xol,11
40,5483-3242,Ignorar,324213043786585,1,,11
