Dyad,Player,Round,objectLeft,objectRight,Score
15850-11039,11039204540670,1,Xol,Otro-R-B-Vimp-Himp,0
15850-11039,15850926510460,1,Dup,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,1,Xol,Xol,1
15850-11039,11039204540670,1,Xol,Xol,1
15850-11039,11039204540670,1,Otro-R-B-Vpar-Hpar,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,1,Otro-R-B-Vpar-Hpar,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,2,Otro-R-B-Vpar-Hpar,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,2,Xol,Xol,1
15850-11039,11039204540670,2,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,2,Otro-A-G-Vimp-Hpar,Dup,0
15850-11039,11039204540670,2,Otro-R-B-Vimp-Himp,Xol,0
15850-11039,11039204540670,2,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,2,Xol,Xol,1
15850-11039,11039204540670,2,Otro-R-B-Vimp-Himp,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,2,Xol,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,2,Otro-A-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,3,Xol,Xol,1
15850-11039,11039204540670,3,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,3,Xol,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,3,Otro-R-B-Vimp-Himp,Xol,0
15850-11039,11039204540670,3,Otro-R-B-Vpar-Hpar,Xol,0
15850-11039,11039204540670,3,Otro-R-B-Vpar-Hpar,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,3,Dup,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,3,Otro-R-G-Vimp-Hpar,Xol,0
15850-11039,11039204540670,3,Otro-R-B-Vimp-Himp,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,3,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,4,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,4,Xol,Xol,1
15850-11039,11039204540670,4,Xol,Xol,1
15850-11039,11039204540670,4,Otro-R-B-Vimp-Himp,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,4,Otro-R-B-Vimp-Himp,Dup,0
15850-11039,11039204540670,4,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,4,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,4,Otro-R-B-Vimp-Himp,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,4,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,4,Otro-R-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,5,Xol,Xol,1
15850-11039,11039204540670,5,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,5,Xol,Xol,1
15850-11039,11039204540670,5,Otro-A-G-Vimp-Hpar,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,5,Otro-R-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,5,Otro-R-B-Vimp-Himp,Xol,0
15850-11039,11039204540670,5,Dup,Xol,5
15850-11039,11039204540670,5,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,5,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,5,Otro-R-B-Vimp-Himp,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,6,Dup,Xol,5
15850-11039,11039204540670,6,Otro-A-G-Vimp-Hpar,Xol,0
15850-11039,11039204540670,6,Otro-A-G-Vimp-Hpar,Xol,0
15850-11039,11039204540670,6,Otro-A-G-Vimp-Hpar,Xol,0
15850-11039,11039204540670,6,Xol,Xol,1
15850-11039,11039204540670,6,Otro-R-B-Vpar-Hpar,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,6,Xol,Otro-R-G-Vimp-Hpar,0
15850-11039,11039204540670,6,Otro-R-G-Vimp-Hpar,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,6,Otro-R-B-Vimp-Himp,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,6,Xol,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,7,Otro-A-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,7,Otro-A-G-Vimp-Hpar,Xol,0
15850-11039,11039204540670,7,Dup,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,7,Otro-A-G-Vimp-Hpar,Xol,0
15850-11039,11039204540670,7,Xol,Xol,1
15850-11039,11039204540670,7,Otro-R-B-Vimp-Himp,Xol,0
15850-11039,11039204540670,7,Otro-R-B-Vimp-Himp,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,7,Xol,Xol,1
15850-11039,11039204540670,7,Otro-R-G-Vimp-Hpar,Xol,0
15850-11039,11039204540670,7,Otro-R-G-Vimp-Hpar,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,8,Xol,Dup,5
15850-11039,11039204540670,8,Xol,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,8,Otro-R-B-Vimp-Himp,Otro-A-G-Vimp-Hpar,0
15850-11039,11039204540670,8,Otro-A-G-Vimp-Hpar,Xol,0
15850-11039,11039204540670,8,Otro-R-B-Vpar-Hpar,Xol,0
15850-11039,11039204540670,8,Xol,Xol,1
15850-11039,11039204540670,8,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,8,Xol,Otro-R-B-Vpar-Hpar,0
15850-11039,11039204540670,8,Otro-R-B-Vimp-Himp,Otro-R-B-Vimp-Himp,0
15850-11039,11039204540670,8,Otro-R-G-Vimp-Hpar,Otro-R-G-Vimp-Hpar,0
